ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote,NÃºmero de piso de la unidad,DisposiciÃ³n
1385513511,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385513511-terreno-en-venta-cholula-_JM,"$940,980",San Pedro Cholula,Cholula,116 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1384797455,puebla,pre,https://terreno.metroscubicos.com/MLM-1384797455-pre-venta-terrenos-residenciales-en-privada-miria-chicxulub-_JM,"$263,770",Chicxulub Pueblo,Chicxulub,251 m²,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1325705660,puebla,terreno,https://terreno.metroscubicos.com/MLM-1325705660-terreno-51-ha-pueblo-teya-kanasin-_JM,"$178,500,000",Kanasin,Teya,510000 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
1314243187,puebla,terreno,https://terreno.metroscubicos.com/MLM-1314243187-terreno-pueblo-conkal-26-hectareas-_JM,"$3,951,550",YucatÃ¡n,Conkal,26610 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
1301302595,puebla,yn,https://terreno.metroscubicos.com/MLM-1301302595-yn-venta-de-terrenos-en-yucatan-_JM,"U$S69,000",Chicxulub Pueblo,Chicxulub,300 m²,,,,,,,,,,,,,,,,,,,,,Otro,,,Regular,,,,
924420364,puebla,venta,https://terreno.metroscubicos.com/MLM-924420364-venta-excelente-terreno-parque-nayarit-lomas-de-angelopolis-_JM,"$1,315,350",San AndrÃ©s Cholula,Lomas de AngelÃ³polis,177.357 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,,
924352769,puebla,venta,https://terreno.metroscubicos.com/MLM-924352769-venta-terreno-san-miguel-xoxtla-atras-de-ternium-_JM,"$2,598,679",San Miguel Xoxtla,San Miguel Xoxtla,1498.96 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
1422560138,puebla,terreno,https://terreno.metroscubicos.com/MLM-1422560138-terreno-en-venta-tecali-de-herrera-puebla-_JM,"$100,000",Puebla,Tecali De Herrera,120 m²,,,,,,,,0 MXN,,,,,,,,,,,,,-,,,,,,,
1422502335,puebla,terreno,https://terreno.metroscubicos.com/MLM-1422502335-terreno-en-venta-puebla-puebla-_JM,"$840,000",Puebla,San Baltasar Tetela,420 m²,,,,,,,,0 MXN,,,,,,,,,,,,,-,,,,,,,
1420849883,puebla,terreno,https://terreno.metroscubicos.com/MLM-1420849883-terreno-pueblo-chicxulub-puerto-_JM,"$377,730",Progreso,Chicxulub,270 mÂ²,,,,,,,,1080 MXN,,,,,,,,,,,,,Otro,,,,,,,
1420264517,puebla,terreno,https://terreno.metroscubicos.com/MLM-1420264517-terreno-pueblo-dzitya-terreno-esquina-vt-1188-_JM,"$494,000",MÃ©rida,Dzitya,182 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
1408913299,puebla,terreno,https://terreno.metroscubicos.com/MLM-1408913299-terreno-en-venta-en-atlixcayotl-san-andres-cholula-puebla-_JM,"$19,850,000",Puebla,Reserva Territorial AtlixcÃ¡yotl,3047 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
1405925822,puebla,terreno,https://terreno.metroscubicos.com/MLM-1405925822-terreno-pueblo-komchen-_JM,"$2,326,800",MÃ©rida,Komchen,554 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
1401124795,puebla,terreno,https://terreno.metroscubicos.com/MLM-1401124795-terreno-en-venta-terrenos-huasca-pueblo-magico-24-msi-no-ejido-servicios-_JM,"$510,000",Hidalgo,Huasca De Ocampo,600 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1397670244,puebla,terreno,https://terreno.metroscubicos.com/MLM-1397670244-terreno-comercial-en-venta-remate-de-terreno-ideal-para-fracc-en-pueblo-magico-real-del-monte-_JM,"$12,924,755",Hidalgo,Mineral Del Monte,46159 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1390296852,puebla,terreno,https://terreno.metroscubicos.com/MLM-1390296852-terreno-pueblo-sisal-_JM,"$1,384,104",Hunucma,Sisal,2306 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
1385564595,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385564595-terreno-en-venta-parque-zacatecas-_JM,"$1,497,747",Ocoyucan,Malacatepec,171 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385513582,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385513582-terreno-comercial-en-venta-tecali-de-herrera-_JM,"$8,000,000",Tecali De Herrera,Tecali De Herrera,85000 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385470710,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385470710-terreno-en-venta-parque-zacatecas-_JM,"$1,543,142",Ocoyucan,Malacatepec,176 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385465093,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385465093-terreno-en-venta-parque-zacatecas-_JM,"$1,569,917",Ocoyucan,Malacatepec,179 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385552105,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385552105-terreno-en-venta-parque-zacatecas-_JM,"$1,503,338",Ocoyucan,Malacatepec,171 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385558359,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385558359-terreno-en-venta-parque-zacatecas-_JM,"$1,613,990",Ocoyucan,Malacatepec,184 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385513532,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385513532-terreno-en-venta-cholula-_JM,"$953,173",San Pedro Cholula,Cholula,117 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385513529,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385513529-terreno-en-venta-santiago-mixquitla-_JM,"$1,139,430",San Pedro Cholula,Santiago Mixquitla,119 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385447420,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385447420-terreno-en-venta-cholula-_JM,"$958,099",San Pedro Cholula,Cholula,118 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385558343,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385558343-terreno-en-venta-santiago-mixquitla-_JM,"$1,135,661",San Pedro Cholula,Santiago Mixquitla,131 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385526421,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385526421-terreno-en-venta-cholula-_JM,"$936,781",San Pedro Cholula,Cholula,115 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385552082,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385552082-terreno-en-venta-parque-zacatecas-_JM,"$1,503,565",Ocoyucan,Malacatepec,171 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385470666,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385470666-terreno-en-venta-santiago-mixquitla-_JM,"$1,060,392",San Pedro Cholula,Santiago Mixquitla,115 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385526415,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385526415-terreno-en-venta-parque-zacatecas-_JM,"$1,539,808",Ocoyucan,Malacatepec,175 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385470667,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385470667-terreno-en-venta-parque-zacatecas-_JM,"$1,491,333",Ocoyucan,Malacatepec,170 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
