ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote,Tipo de casa,NÃºmero de piso de la unidad,Tipo de departamento,Fecha de entrega,Huéspedes,Admite mascotas,Tipo de bodega,NÃºmero de oficinas,Altura,Superficie cubierta del casco,Número de oficinas,Plataformas para trailers
1300504433,guanajuato,casa,https://casa.metroscubicos.com/MLM-1300504433-casa-en-venta-en-colonia-las-reynas-salamanca-gto-_JM,"$2,399,000",Salamanca,Las Reynas,396 m²,,4,2,4,,10 años,0 MXN,200 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941990690,guanajuato,casa,https://casa.metroscubicos.com/MLM-941990690-casa-en-condominio-salamanca-_JM,"$3,950,000",Guanajuato,Salamanca,253 mÂ²,,,,2,2,,0 MXN,253 mÂ²,4,4,8 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1300507388,guanajuato,casa,https://casa.metroscubicos.com/MLM-1300507388-casa-unidad-habitacional-primavera-_JM,"$1,100,000",Salamanca,Primavera,151 m²,,3,2,1,2,28 años,0 MXN,151 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308087822,guanajuato,casa,https://casa.metroscubicos.com/MLM-1308087822-casa-salamanca-_JM,"$850,000",Guanajuato,Salamanca,90 mÂ²,,,,1,1,,0 MXN,,3,1,30 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1419076813,guanajuato,casa,https://casa.metroscubicos.com/MLM-1419076813-casa-en-venta-3-recamaras-con-bano-cada-una-colonia-san-jeronimo-leon-gto-_JM,"$2,400,000",Guanajuato,León,185 m²,,3,3,1,2,10 años,500 MXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405293810,guanajuato,villa,https://casa.metroscubicos.com/MLM-1405293810-villa-entre-suenos-en-venta-fracc-ojo-de-agua-en-san-migue-_JM,"U$S4,700,000",San Miguel De Allende,Ojo De Agua,4386 m²,8,4,3,2,,0 años,,926 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380942393,guanajuato,casa,https://casa.metroscubicos.com/MLM-1380942393-casa-en-venta-mayorca-residencial-en-leon-guanajuato-_JM,"$3,595,000",León,Ladrilleras del Refugio,243 m²,,3,3,2,2,0 años,0 MXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961906133,guanajuato,rancho,https://casa.metroscubicos.com/MLM-961906133-rancho-carretera-dolores-a-rio-laja-dolores-hgo-guanajua-_JM,"$27,000,000",Dolores Hidalgo,La Venta,120000 mÂ²,9,,,20,,,,280 mÂ²,3,6,13 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1300506413,guanajuato,casa,https://casa.metroscubicos.com/MLM-1300506413-casa-empalme-escobedo-centro-_JM,"$3,900,000",Comonfort,Empalme Escobedo Centro,1526 m²,,7,8,5,3,30 años,0 MXN,1096 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309774098,guanajuato,casa,https://casa.metroscubicos.com/MLM-1309774098-casa-sola-en-venta-colinas-del-rio-_JM,"$888,000",Irapuato,Fraccionamiento Colinas del Río,90 m²,,3,1,,,0 años,,80 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1368576583,guanajuato,cartagena,https://casa.metroscubicos.com/MLM-1368576583-cartagena-casa-nueva-2-recamaras-cluster-con-alberca-en-ce-_JM,"$1,300,000",Celaya,Residencial,102 m²,5,2,2,2,,4 años,,85 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392578802,guanajuato,hermosa,https://casa.metroscubicos.com/MLM-1392578802-hermosa-casa-en-venta-balcones-del-campestre-leon-gto-_JM,"$10,800,000",León,Balcones Del Campestre,1000 m²,1,4,3,6,2,0 años,550 MXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886465205,guanajuato,venta,https://casa.metroscubicos.com/MLM-886465205-venta-de-casa-en-el-centro-de-irapuato-_JM,"$2,200,000",Irapuato,Irapuato Centro,137 m²,9,5,3,,,0 años,,250 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878733491,guanajuato,espanita,https://casa.metroscubicos.com/MLM-878733491-espanita-5-habitaciones-casa-6-_JM,"$5,700,000",Irapuato,Españita,279 m²,11,5,5,4,,2 años,,450 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374283711,guanajuato,casa,https://casa.metroscubicos.com/MLM-1374283711-casa-en-canada-del-conde-_JM,"$2,400,000",Guanajuato,Fraccionamiento Ex Hacienda Santa Teresa,120 m²,6,3,2,1,,3 años,,156 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356324923,guanajuato,casa,https://casa.metroscubicos.com/MLM-1356324923-casa-en-venta-en-el-molino-residencial-y-golf-_JM,"$5,350,000",León,El Molino Residencial y Golf,270 m²,,3,3,2,2,0 años,1500 MXN,315 m²,,,,,1,Casa sola,,,,,,,,,,,,Casa,,,,,,,,,,,
1333897357,guanajuato,arboledas,https://casa.metroscubicos.com/MLM-1333897357-arboledas-2a-secc-una-planta-hermosa-propiedad-estilo-colo-_JM,"$3,000,000",Celaya,Las Arboledas 2a Secc.,375 m²,6,2,3,3,,39 años,,330 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367962605,guanajuato,casa,https://casa.metroscubicos.com/MLM-1367962605-casa-girasol-_JM,"$7,900,000",San Miguel De Allende,Villa De Los Frailes,500 mÂ²,14,,,,,,,417 mÂ²,6,8,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
930410706,guanajuato,modern,https://casa.metroscubicos.com/MLM-930410706-modern-residence-_JM,"$8,990,000",Guanajuato,Marfil Centro,709 m²,5,2,2,2,,0 años,,588 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333285120,guanajuato,oferta,https://casa.metroscubicos.com/MLM-1333285120-oferta-de-casa-en-lomas-de-espanita-irapuato-_JM,"$1,800,000",Irapuato,Lomas de Españita,130 m²,6,3,2,2,,10 años,,151 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333877971,guanajuato,rinconada,https://casa.metroscubicos.com/MLM-1333877971-rinconada-alamos-comoda-e-iluminada-casa-3-recamaras-_JM,"$1,275,000",Celaya,Los Alamos,105 m²,5,3,1,2,,12 años,,160 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378383911,guanajuato,remate,https://casa.metroscubicos.com/MLM-1378383911-remate-de-finca-campestre-queretaro-rfv210328-ma-_JM,"$5,000,000",San Miguel De Allende,El BatÃ¡n,1186 mÂ²,7,,,6,,,,2000 mÂ²,4,3,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1323051937,guanajuato,casa,https://casa.metroscubicos.com/MLM-1323051937-casa-1-planta-de-lujo-cluster-vip-mayorazgo-zona-sur-leon-_JM,"$7,200,000",León,El Mayorazgo Residencial,500 m²,3,3,3,3,1,8 años,0 MXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345529199,guanajuato,casa,https://casa.metroscubicos.com/MLM-1345529199-casa-en-venta-o-renta-amueblada-en-fracc-san-angel-blvd-la-luz-435000035000-_JM,"$4,350,000",Guanajuato,León,360 m²,,3,3,5,2,0 años,0 MXN,300 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324137457,guanajuato,casa,https://casa.metroscubicos.com/MLM-1324137457-casa-en-venta-leon-moderno-con-terraza-y-amplio-jardin-leon-gto-_JM,"$5,400,000",León,León Moderno,400 m²,,3,3,3,2,15 años,0 MXN,,,,,Poniente,,,,,,,,,,,,,,,,,,,,,,,,,
1300501721,guanajuato,casa,https://casa.metroscubicos.com/MLM-1300501721-casa-en-condominio-villa-san-pedro-_JM,"$1,900,000",Salamanca,Villa San Pedro,150 m²,,3,2,2,2,13 años,0 MXN,150 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407739111,guanajuato,casa,https://casa.metroscubicos.com/MLM-1407739111-casa-nueva-en-venta-al-sur-de-leon-gto-fraccionamiento-priva-_JM,"$1,092,000",León,Marbella,77 m²,5,2,2,1,,0 años,,77 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360505067,guanajuato,hacienda,https://casa.metroscubicos.com/MLM-1360505067-hacienda-en-venta-en-san-miguel-de-allende-_JM,"$36,500,000",San Miguel De Allende,El Mirador,5000 m²,15,6,6,15,,0 años,,1200 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962616080,guanajuato,vendo,https://casa.metroscubicos.com/MLM-962616080-vendo-casa-en-oasis-_JM,"$1,930,000",León,Oasis,122 m²,,,,,,0 años,,142 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1387989179,guanajuato,venta,https://casa.metroscubicos.com/MLM-1387989179-venta-casa-en-lomas-del-molino-iv-_JM,"$4,600,000",León,El Molino Residencial y Golf,222 m²,9,4,4,2,,0 años,,260 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963223777,guanajuato,quetzal,https://casa.metroscubicos.com/MLM-963223777-quetzal-fracc-casa-en-venta-_JM,"$1,850,000",Irapuato,Quetzal,144 m²,6,3,2,2,,,,180 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345652083,guanajuato,casa,https://casa.metroscubicos.com/MLM-1345652083-casa-ampliada-villamagna-casa-en-venta-zona-norte-leon-guanajuato-_JM,"$1,390,000",Ramos Arizpe,Villamagna,170 m²,,4,2,2,3,20 años,0 MXN,,,,,Norte,,,,,,,,,,,,,,,,,,,,,,,,,
944430518,guanajuato,casa,https://casa.metroscubicos.com/MLM-944430518-casa-el-mayorazgo-_JM,"$3,650,000",León,El Mayorazgo Residencial,245 m²,,3,3,2,2,0 años,800 MXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333858544,guanajuato,castela,https://casa.metroscubicos.com/MLM-1333858544-castela-casa-en-pre-venta-enamorate-del-mejor-fraccionamie-_JM,"$3,300,000",Celaya,Praderas De La Hacienda,180 m²,6,3,2,2,,,,210 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886060240,guanajuato,venta,https://casa.metroscubicos.com/MLM-886060240-venta-de-casa-en-zona-norte-de-irapuato-la-pradera-_JM,"$2,300,000",Irapuato,La Pradera,159 m²,7,3,3,2,,31 años,,218 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300500876,guanajuato,casa,https://casa.metroscubicos.com/MLM-1300500876-casa-bellavista-_JM,"$4,850,000",Salamanca,Bellavista,450 m²,,3,2,3,2,20 años,0 MXN,398 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922768158,guanajuato,moderna,https://casa.metroscubicos.com/MLM-922768158-moderna-residencia-a-la-pre-venta-en-san-miguel-de-allende-_JM,"$4,890,000",San Miguel De Allende,San Miguel De Allende Centro,300 m²,8,3,3,3,,0 años,,318 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388746014,guanajuato,residencia,https://casa.metroscubicos.com/MLM-1388746014-residencia-del-molino-_JM,"$6,980,000",Guanajuato,Paseo De La Presa,468 m²,15,9,6,2,,0 años,,421 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961897422,guanajuato,casa,https://casa.metroscubicos.com/MLM-961897422-casa-en-hacienda-la-presita-a-solo-5-minutos-del-centro-de-s-_JM,"$9,500,000",San Miguel De Allende,Otra Colonia,409 mÂ²,10,,,2,,,,360 mÂ²,4,4,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
962616076,guanajuato,casa,https://casa.metroscubicos.com/MLM-962616076-casa-en-centro-historico-de-san-miguel-de-allende-_JM,"$15,000,000",San Miguel De Allende,San Miguel De Allende Centro,218 m²,,,,,,0 años,,276 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355118628,guanajuato,casa,https://casa.metroscubicos.com/MLM-1355118628-casa-en-venta-el-bosque-leon-gto-_JM,"$16,950,000",León,Lomas De Gran Jardin,1000 m²,,4,4,4,2,2 años,3750 MXN,764 m²,,,,,1,Casa sola,,,,,,,,,,,,Casa,,,,,,,,,,,
1358236984,guanajuato,casa,https://casa.metroscubicos.com/MLM-1358236984-casa-sola-en-venta-el-bosque-country-club-golf-_JM,"$43,000,000",León,Country Club Los Naranjos,1000 m²,,3,5,,,0 años,,2441 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367441291,guanajuato,alameda,https://casa.metroscubicos.com/MLM-1367441291-alameda-bella-propiedad-con-recamara-en-planta-baja-y-despa-_JM,"$3,750,000",Celaya,Alameda,350 m²,6,3,2,2,,37 años,,417 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
