ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,OrientaciÃ³n,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Tipo de departamento,Disposición del lote
1390674154,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1390674154-terreno-en-venta-san-jose-del-cabo-centro-_JM,"$21,600,000",Los Cabos,San JosÃ© Del Cabo Centro,1951 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,
1389725528,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1389725528-terreno-en-venta-san-jose-del-cabo-centro-_JM,"$33,600,000",Los Cabos,San JosÃ© Del Cabo Centro,2334 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,
1389725528,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1389725528-terreno-en-venta-san-jose-del-cabo-centro-_JM,"$33,600,000",Los Cabos,San José Del Cabo Centro,2334 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,
1372396601,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1372396601-terreno-industrial-en-venta-en-la-paz-_JM,"$830,000",La Paz,Colonia Ampliación Ayuntamiento,500 m²,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,
955760561,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-955760561-terreno-en-venta-la-paz-_JM,"$555,389,600",La Paz,Fidepaz,694237 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,
1422385022,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1422385022-terreno-en-venta-la-paz-baja-california-sur-_JM,"U$S194,250",La Paz,Pedregal de la Paz,1216 mÂ²,,,,,,,,,,0 USD,,,,,,,,,,,-,,,,,,
1421716014,baja-california-sur,super,https://terreno.metroscubicos.com/MLM-1421716014-super-oportunidad-para-inversionistas-en-los-cabos-_JM,U$S20,Los Cabos,Cabo San Lucas Centro,6000000 m²,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,
1415502775,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1415502775-terreno-comercial-en-venta-el-encanto-de-la-laguna-_JM,"$18,820,700",Los Cabos,Las Lagunas,6721 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,
1390654816,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1390654816-terreno-en-venta-san-jose-del-cabo-centro-_JM,"$25,200,000",Los Cabos,San JosÃ© Del Cabo Centro,1938 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,
1389731506,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1389731506-terreno-en-venta-san-jose-del-cabo-centro-_JM,"$16,800,000",Los Cabos,San JosÃ© Del Cabo Centro,2196 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,
1389586737,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1389586737-terreno-en-venta-san-jose-del-cabo-centro-_JM,"$18,600,000",Los Cabos,San JosÃ© Del Cabo Centro,2357 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,
1392189068,baja-california-sur,hectareas,https://terreno.metroscubicos.com/MLM-1392189068-hectareas-en-venta-corredor-cerritos-bcs-_JM,"U$S5,000,000",La Paz,La Paz (Gral. Manuel MÃ¡rquez de LeÃ³n),100000 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,125 m,,Regular,,,
1380441502,baja-california-sur,hectareas,https://terreno.metroscubicos.com/MLM-1380441502-hectareas-en-venta-en-la-ventana-bcs-_JM,"U$S3,500,000",La Paz,La Ventana,75000 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,Regular,,,
1422397768,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1422397768-terreno-en-venta-los-cabos-baja-california-sur-_JM,"U$S15,000",Los Cabos,Fraccionamiento Ventanas del CortÃ©s,1250 mÂ²,,,,,,,,,,0 USD,,,,,,,,,,,-,,,,,,
1422410292,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1422410292-terreno-en-venta-la-paz-baja-california-sur-_JM,"U$S263,984",La Paz,Pedregal de la Paz,1318 m²,,,,,,,,,,0 USD,,,,,,,,,,,-,,,,,,
1420142944,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1420142944-terreno-comercial-en-venta-el-encanto-de-la-laguna-_JM,"$24,046,420",Los Cabos,Las Lagunas,7514 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,
1417975600,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1417975600-terreno-comercial-en-venta-el-encanto-de-la-laguna-_JM,"$21,559,180",Los Cabos,Las Lagunas,6159 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,
1415502069,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1415502069-terreno-comercial-en-venta-el-encanto-de-la-laguna-_JM,"$15,288,060",Los Cabos,Las Lagunas,4777 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,
1406520703,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1406520703-terreno-comercial-en-venta-san-jose-del-cabo-_JM,"$36,057,200",Los Cabos,San José del Cabo (Los Cabos),9014 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,
1323973957,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1323973957-terreno-en-venta-cabo-san-lucas-_JM,"$8,808,680",Los Cabos,Cabo San Lucas Centro,1761 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,
1333403948,baja-california-sur,rosarito,https://terreno.metroscubicos.com/MLM-1333403948-rosarito-commercial-building-corner-_JM,"U$S375,000",Los Cabos,El Chamizal,530 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,
1392214697,baja-california-sur,terreno,https://terreno.metroscubicos.com/MLM-1392214697-terreno-en-venta-frente-a-carretera-la-paz-los-planes-_JM,"$560,000",La Paz,Los Planes,2528 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,
