ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Tipo de casa,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Cantidad de pisos,Tipo de propiedad,OrientaciÃ³n,Tipo de departamento,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,Disposición,Acceso,Forma del terreno,DisposiciÃ³n del lote,Metros de frente,Metros de fondo,Disposición del lote
1399368848,jalisco,17843,https://departamento.metroscubicos.com/MLM-1399368848-17843-rinconada-de-la-floresta-rinconada-del-bosque-_JM,"$2,080,000",Guadalajara,Rincón Del Bosque,76 m²,76 m²,,2,1,4,,,,,,,,,,,,,,,,,,,,,,
1383782896,jalisco,15791,https://departamento.metroscubicos.com/MLM-1383782896-15791-morelos-zona-centro-_JM,"$4,000,000",Guadalajara,Mexicaltzingo,388 m²,388 m²,,4,2,3,,,,,,,,,,,,,,,,,,,,,,
1376638315,jalisco,14745,https://departamento.metroscubicos.com/MLM-1376638315-14745-mar-california-country-club-_JM,"$12,600,000",Guadalajara,Country Club,250 m²,250 m²,,3,3,4,,,,,,,,,,,,,,,,,,,,,,
1345468280,jalisco,departamentos,https://departamento.metroscubicos.com/MLM-1345468280-departamentos-en-preventa-en-torre-regidores-_JM,"$1,716,056",Guadalajara,Ayuntamiento,38 m²,38 m²,3,1,1,1,,,,0 años,,,,,,,,,,,,,,,,,,
909296242,jalisco,departamentos,https://departamento.metroscubicos.com/MLM-909296242-departamentos-en-preventa-en-torre-regidores-_JM,"$3,066,657",Guadalajara,Ayuntamiento,84 m²,84 m²,3,1,1,,,,,0 años,,,,,,,,,,,,,,,,,,
1416387257,jalisco,departamento,https://departamento.metroscubicos.com/MLM-1416387257-departamento-21-en-el-sauz-tlaquepaque-_JM,"$800,000",Jalisco,Tlaquepaque,64 m²,62 m²,,2,1,1,,,,0 años,,,,,,,,,,,,,,,,,,
1358115512,jalisco,departamento,https://departamento.metroscubicos.com/MLM-1358115512-departamento-de-lujo-en-venta-the-landmark-andares-_JM,"$15,000,000",Zapopan,Puerta De Hierro,183 mÂ²,183 mÂ²,,,,3,1,,,,,3,4,,,,,,,,,,,,,,,
1382667066,jalisco,depto,https://departamento.metroscubicos.com/MLM-1382667066-depto-excelente-ubicacion-a-3-min-de-plaza-del-sol-y-expo-_JM,"$2,285,000",Guadalajara,Bosques De La Victoria,77 m²,65 m²,,2,1,1,,,,32 años,,,,,,,,,,1,,,,,,,,
1389506869,jalisco,16547,https://departamento.metroscubicos.com/MLM-1389506869-16547-avenida-nicolas-copernico-atlas-chapalita-_JM,"$3,890,000",Zapopan,Atlas Chapalita,98 m²,98 m²,,2,2,2,,,,,,,,,,,,,,,,,,,,,,
1388926289,jalisco,departamento,https://departamento.metroscubicos.com/MLM-1388926289-departamento-en-venta-en-colomos-providencia-_JM,"$5,800,000",Guadalajara,Colomos Providencia,174.12 m²,174.12 m²,,2,2,2,1,,,10 años,3060 MXN,,,,1,,,,,,,,,,,,,
1383168214,jalisco,chinas,https://departamento.metroscubicos.com/MLM-1383168214-chinas-conchas-departamentos-en-pre-venta-en-puerto-vallarta-_JM,"U$S399,646",Puerto Vallarta,Conchas Chinas,105.17 m²,105.17 m²,,1,1,1,,,,1 años,,,,,,,,,,,,,,,,,,
1324431438,jalisco,gran,https://departamento.metroscubicos.com/MLM-1324431438-gran-oportunidad-de-remare-en-gld-americas-country-gld-_JM,"$760,000",Guadalajara,Residencial Vallarta Country,123 m²,123 m²,,3,2,2,,,,,,,,,,,,,,,,,,,,,,
1398097266,jalisco,17644,https://departamento.metroscubicos.com/MLM-1398097266-17644-av-guadalupe-jardines-del-tepeyac-_JM,"$4,255,000",Zapopan,Jardines Del Tepeyac,102 m²,102 m²,,2,2,2,,,,,,,,,,,,,,,,,,,,,,
1389541696,jalisco,departamento,https://departamento.metroscubicos.com/MLM-1389541696-departamento-en-venta-en-atemajac-del-valle-_JM,,,Inmuebles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362956357,jalisco,12728,https://departamento.metroscubicos.com/MLM-1362956357-12728-av-ruben-dario-colomos-providencia-_JM,"$4,600,000",Guadalajara,Colomos Providencia,111 m²,111 m²,,2,2,,,,,,,,,,,,,,,,,,,,,,,
1345214803,jalisco,d1204,https://departamento.metroscubicos.com/MLM-1345214803-d1204-c-asuncion-chapultepec-country-_JM,"$4,701,715",Guadalajara,Chapultepec Country,87 m²,87 m²,,1,1,2,,,,,,,,,,,,,,,,,,,,,,
