ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Orientación,Antigüedad,Ambientes,Bodegas,Cantidad de pisos,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,Disposición del lote,DisposiciÃ³n del lote,DisposiciÃ³n
1338604037,sinaloa,casa,https://casa.metroscubicos.com/MLM-1338604037-casa-venta-3-racamaras-culiacan-_JM,"$545,999",Culiacán,Residencial Hacienda,250 m²,200 m²,3,3,2,,10 años,,,2,,,,,,,,,,,,,,,,,,
765160785,sinaloa,casa,https://casa.metroscubicos.com/MLM-765160785-casa-culiacan-_JM,"$570,000",Sinaloa,Culiacán,104 m²,,2,1,2,,0 años,2,,1,0 MXN,,,,,,,,,,,,,,,,,
954265567,sinaloa,casa,https://casa.metroscubicos.com/MLM-954265567-casa-en-venta-en-prados-del-sol-_JM,"$980,000",Culiacán,INFONAVIT Prados del Sol,126 m²,122.94 m²,2,2,1,,15 años,,1,1,,,,,,Casa,Casa sola,,,,,,,,,,,
929426176,sinaloa,bonita,https://casa.metroscubicos.com/MLM-929426176-bonita-casa-junto-a-parque-_JM,"$880,000",Mazatlán,Residencial Rinconada,114 m²,102 m²,2,1,1,,13 años,,,,,,,,,,,,,,,,,,,,,
794127253,sinaloa,casa,https://casa.metroscubicos.com/MLM-794127253-casa-en-venta-en-altabrisa-mazatlan-_JM,"$4,300,000",MazatlÃ¡n,Cerritos Resort,200 mÂ²,305 mÂ²,,,2,,,,,,,4,3,,,,,,,,,,,,,,,
774498929,sinaloa,se,https://casa.metroscubicos.com/MLM-774498929-se-vende-casa-en-valle-alto-con-terreno-excedente-_JM,"$750,000",Sinaloa,Culiacán,126 m²,,2,1,4,,0 años,,,,0 MXN,,,,,,,,,,,,,,,,,
1343413838,sinaloa,casa,https://casa.metroscubicos.com/MLM-1343413838-casa-venta-3-recamaras-culiacan-gmp-_JM,"$642,500",Culiacán,Privada La Estancia II,120 m²,126 m²,3,2,1,,,,,,,,,,,,,,,,,,,,,,,
1390404770,sinaloa,magnifica,https://casa.metroscubicos.com/MLM-1390404770-magnifica-hacienda-frente-a-la-playa-_JM,"U$S985,000",MazatlÃ¡n,El DelfÃ­n,1073 mÂ²,611 mÂ²,,,,,,,,,,8,7,,,,,,,,,,,,,,,
924354531,sinaloa,casa,https://casa.metroscubicos.com/MLM-924354531-casa-en-venta-sonterra-residencial-en-mazatlan-_JM,"$1,995,000",MazatlÃ¡n,Real Del Valle,140 mÂ²,90 mÂ²,,,2,,,,,,,2,1,,0 aÃ±os,,,,,,,,,,,,,
1352075208,sinaloa,casa,https://casa.metroscubicos.com/MLM-1352075208-casa-en-venta-zona-sur-_JM,"$5,700,000",Culiacán,Adolfo Ruiz Cortinez,469 m²,164 m²,2,4,5,,2 años,,,,,,,,,,,,,,,,,,,,,
1382550375,sinaloa,casa,https://casa.metroscubicos.com/MLM-1382550375-casa-en-infonavit-solidaridad-culiacan-sinaloa-barata-jtp-_JM,"$590,155",Culiacán,INFONAVIT Solidaridad,70 m²,70 m²,2,1,1,,13 años,,,,,,,,,,,,,,,,,,,,,
954265569,sinaloa,casa,https://casa.metroscubicos.com/MLM-954265569-casa-en-venta-en-azaleas-residencial-_JM,"$3,300,000",Culiacán,Azaleas Residencial,388 m²,255 m²,3,2,3,,12 años,,1,2,250 MXN,,,,,Casa,Casa en condominio,,,,,,,,,,,
930944884,sinaloa,casa,https://casa.metroscubicos.com/MLM-930944884-casa-sola-en-venta-21-de-marzo-_JM,"$3,600,000",Culiacán,21 De Marzo,345 m²,179 m²,3,3,,,12 años,,,,,,,,,,,,,,,,,,,,,
1324573262,sinaloa,vmv,https://casa.metroscubicos.com/MLM-1324573262-vmv-casa-en-venta-n-villa-resid-del-rey-mazatlan-sinaloa-_JM,"$802,933",MazatlÃ¡n,Villas Del Rey,110 mÂ²,125 mÂ²,,,2,,,,,,,3,2,,25 aÃ±os,,,,,,,,,,,,,
924336067,sinaloa,condominios,https://casa.metroscubicos.com/MLM-924336067-condominios-en-venta-las-gavias-grand-en-mazatlan-_JM,"U$S266,519",MazatlÃ¡n,SÃ¡balo Cerritos,117 mÂ²,117 mÂ²,,,1,,,,,,,2,1,,0 aÃ±os,,,,,,,,,,,,,
1390417835,sinaloa,balboa,https://casa.metroscubicos.com/MLM-1390417835-balboa-120-el-dorado-mazatlan-casa-en-venta-en-fraccionamiento-de-alta-plusvalia-_JM,"$4,590,000",Mazatlán,El Dorado,266 m²,236 m²,4,5,,,,,,3,,,,,,,,,,,,,,,,,,
1390411254,sinaloa,increible,https://casa.metroscubicos.com/MLM-1390411254-increible-casa-moderna-en-fraccionamiento-puerta-al-mar-frente-a-cancha-de-tenis-_JM,"$8,290,000",MazatlÃ¡n,Puerta al Mar,414 mÂ²,321 mÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,
951184478,sinaloa,casa,https://casa.metroscubicos.com/MLM-951184478-casa-en-venta-la-isla-tenerife-4750000-sercan-rg1-_JM,"$4,750,000",Culiacán,Músala Isla Bonita,307 m²,327 m²,4,3,2,,0 años,7,,,,,,,,,,,,,,,,,,,,
951165007,sinaloa,casa,https://casa.metroscubicos.com/MLM-951165007-casa-en-venta-la-primavera-culiacan-8500000-rosvil-rg1-_JM,"$8,500,000",CuliacÃ¡n,La Primavera,473 mÂ²,436 mÂ²,,,4,,,7,,,,3,4,,0 aÃ±os,,,,,,,,,,,,,
1319277221,sinaloa,casa,https://casa.metroscubicos.com/MLM-1319277221-casa-sola-en-venta-tres-rios-_JM,"$8,700,000",Culiacán,Tres Ríos,225 m²,340 m²,4,5,,,2 años,,,,,,,,,,,,,,,,,,,,,
760331739,sinaloa,casa,https://casa.metroscubicos.com/MLM-760331739-casa-fraccionamiento-infonavit-barrancos-_JM,"$1,273,000",Culiacán,Barrancos Infonavit,100 m²,100 m²,2,2,2,,0 años,2,,2,550 MXN,,,,,,,,,,,,,,,,,
909774418,sinaloa,casa,https://casa.metroscubicos.com/MLM-909774418-casa-sola-en-venta-alcazar-del-country-_JM,"$5,400,000",Ahome,Centro Plaza Mochis,300 m²,276 m²,3,4,,,0 años,,,,,,,,,,,,,,,,,,,,,
774491890,sinaloa,casa,https://casa.metroscubicos.com/MLM-774491890-casa-fraccionamiento-valle-alto-_JM,"$900,000",CuliacÃ¡n,Valle Alto,120 mÂ²,,,,2,,,,,1,0 MXN,2,1,,10 aÃ±os,,,,,,,,,,,,,
1371516933,sinaloa,casa,https://casa.metroscubicos.com/MLM-1371516933-casa-sola-en-venta-colinas-de-san-miguel-_JM,"$9,250,000",Culiacán,Colinas De San Miguel,700 m²,471 m²,3,4,,,0 años,,,,,,,,,,,,,,,,,,,,,
1336945272,sinaloa,hermosa,https://casa.metroscubicos.com/MLM-1336945272-hermosa-casa-frente-al-mar-_JM,"$60,000,000",MazatlÃ¡n,Estero,5616 mÂ²,787 mÂ²,,,15,,,10,,2,0 MXN,10,11,Norte,5 aÃ±os,,,,,,,,,,,,,
1364083312,sinaloa,hermosa,https://casa.metroscubicos.com/MLM-1364083312-hermosa-casa-de-lujo-en-isla-musala-_JM,"$8,000,000",Culiacán,Músala Isla Bonita,225.31 m²,261 m²,3,2,3,,1 años,,1,2,,,,,,Casa,Casa en condominio,,,,,,,,,,,
