ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Tipo de casa,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Cantidad de pisos,Tipo de propiedad,OrientaciÃ³n,Tipo de departamento,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,Disposición,Acceso,Forma del terreno,DisposiciÃ³n del lote,Metros de frente,Metros de fondo,Disposición del lote,DisposiciÃ³n
1358580174,morelos,precioso,https://departamento.metroscubicos.com/MLM-1358580174-precioso-departamento-con-balcon-a-la-venta-en-residencial-_JM,"U$S850,000",Cuajimalpa De Morelos,Granjas Palo Alto,300 m²,300 m²,7,3,3,3,,,,11 años,,,,,,,,,,,,,,,,,,,
1358534989,morelos,departamento,https://departamento.metroscubicos.com/MLM-1358534989-departamento-de-lujo-a-la-venta-en-ref-laureles-_JM,"U$S1,100,000",Cuajimalpa De Morelos,Lomas Del Chamizal,408 m²,408 m²,7,3,3,4,,,,2007 años,,,,,,,,,,,,,,,,,,,
1358087241,morelos,vendo,https://departamento.metroscubicos.com/MLM-1358087241-vendo-amplio-departamento-en-cuajimalpa-_JM,"$12,950,000",Cuajimalpa De Morelos,Cuajimalpa,276 m²,276 m²,7,3,3,2,,,,0 años,,,,,,,,,,,,,,,,,,,
936180963,morelos,departamento,https://departamento.metroscubicos.com/MLM-936180963-departamento-en-venta-o-renta-lomas-de-santa-fe-_JM,"$15,000,000",Cuajimalpa De Morelos,Contadero,175 m²,175 m²,5,2,2,2,,,,1 años,,,,,,,,,,,,,,,,,,,
925314409,morelos,departamento,https://departamento.metroscubicos.com/MLM-925314409-departamento-en-venta-en-lomas-del-chamizal-_JM,"$17,900,000",Cuajimalpa De Morelos,Lomas Del Chamizal,306 m²,306 m²,,3,3,4,,,,7 años,12000 MXN,,,,,,,,,,,,,,,,,,
1317147260,morelos,1239,https://departamento.metroscubicos.com/MLM-1317147260-1239-av-de-los-poetas-san-mateo-tlaltenango-_JM,"$8,203,592",Cuajimalpa De Morelos,San Mateo Tlaltenango,139 m²,139 m²,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,
1317101875,morelos,2011,https://departamento.metroscubicos.com/MLM-1317101875-2011-av-de-los-poetas-san-mateo-tlaltenango-_JM,"$10,300,000",Cuajimalpa De Morelos,San Mateo Tlaltenango,189 m²,189 m²,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,
724687389,morelos,excelente,https://departamento.metroscubicos.com/MLM-724687389-excelente-departamento-en-venta-santa-fe-_JM,"$7,999,000",Cuajimalpa De Morelos,Santa Fe Cuajimalpa,131 m²,131 m²,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
1421612134,morelos,departamento,https://departamento.metroscubicos.com/MLM-1421612134-departamento-acapatzingo-_JM,"$4,800,000",Cuernavaca,Acapatzingo,135 m²,135 m²,6,3,3,2,,,,0 años,,,,,,,,,,,,,,,,,,,
1414437356,morelos,departamento,https://departamento.metroscubicos.com/MLM-1414437356-departamento-en-venta-bosques-de-las-lomas-bosque-de-cidros-en-bosque-de-cidros-_JM,"$12,900,000",Cuajimalpa De Morelos,Bosques de las Lomas,433 m²,433 m²,,3,3,3,,,,20 años,,,,,,,,,,,,,,,,,,,
1414462311,morelos,departamento,https://departamento.metroscubicos.com/MLM-1414462311-departamento-en-venta-bosque-de-tabachines-bosques-de-las-lomas-santa-fe-en-bosque-de-tabachines-_JM,"$10,700,000",Cuajimalpa De Morelos,Bosques de las Lomas,260 m²,260 m²,,3,3,5,,,,14 años,,,,,,,,,,,,,,,,,,,
1369945949,morelos,elegante,https://departamento.metroscubicos.com/MLM-1369945949-elegante-y-amplio-departamento-en-bosque-de-las-lomas-_JM,"$13,750,000",Cuajimalpa De Morelos,Bosques de las Lomas,305 m²,305 m²,7,3,3,3,,,,2002 años,,,,,,,,,,,,,,,,,,,
941389785,morelos,magnifico,https://departamento.metroscubicos.com/MLM-941389785-magnifico-departamento-en-cuernavaca-_JM,"$3,400,000",Cuernavaca,Acapatzingo,225 m²,225 m²,,3,3,2,1,,,,5300 MXN,,,,1,,,,2,,,,,,,,,,
1352983896,morelos,departamento,https://departamento.metroscubicos.com/MLM-1352983896-departamento-cuernavaca-_JM,"$1,550,000",Cuernavaca,Cuernavaca Centro,60 m²,,,2,1,1,,,,0 años,0 MXN,,,,,,,,,,,,,,,,,,
1317140567,morelos,3482,https://departamento.metroscubicos.com/MLM-1317140567-3482-cerrada-fabrica-de-armas-lomas-del-chamizal-_JM,"$3,999,999",Cuajimalpa De Morelos,Lomas Del Chamizal,98 m²,98 m²,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
1362198551,morelos,departamento,https://departamento.metroscubicos.com/MLM-1362198551-departamento-en-venta-en-torre-platino-_JM,"$19,100,000",Cuajimalpa De Morelos,Bosques de las Lomas,460 m²,460 m²,7,3,3,4,,,,0 años,,,,,,,,,,,,,,,,,,,
1404468202,morelos,departamento,https://departamento.metroscubicos.com/MLM-1404468202-departamento-en-venta-en-real-de-san-juan-chapultepec-cuernavaca-morelos-_JM,"$6,500,000",Morelos,Cuernavaca,180 m²,180 m²,,2,3,3,,,,5 años,0 MXN,,,,2,,,,,,,,,,,,,,
