ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote,NÃºmero de piso de la unidad,DisposiciÃ³n,Baños por piso,Número de oficinas,Oficinas por piso,Admite mascotas,Tipo de bodega,Altura,Plataformas para trailers,Soporte de piso,Huéspedes,Camas,Estadía mínima (noches),Horario check in,Horario check out,NÃºmero de oficinas
1422910373,querétaro,casa,https://casa.metroscubicos.com/MLM-1422910373-casa-en-venta-de-3-niveles-en-colonia-constituyentes-queretaro-rcv220513-ag-_JM,"$3,995,000",Querétaro,Constituyentes,188 m²,256 m²,,3,3,1,,2004 años,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424743457,querétaro,estrena,https://casa.metroscubicos.com/MLM-1424743457-estrena-residencia-en-zibata-doble-altura-jardin-chimenea-_JM,"$4,395,000",El Marqués,Zibata,184 m²,211 m²,7,3,3,3,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424734041,querétaro,casa,https://casa.metroscubicos.com/MLM-1424734041-casa-de-autor-hab-en-pb-jardin-interior-doble-altura-queretaro-_JM,"$4,275,999",El Marqués,Zibata,179 m²,179 m²,,3,3,2,,0 años,800 MXN,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423621697,querétaro,20309,https://casa.metroscubicos.com/MLM-1423621697-20309-av-real-del-marques-real-del-marques-residencial-_JM,"$1,750,000",Querétaro,Real del Marques Residencial,130 m²,160 m²,,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423536942,querétaro,comodidad,https://casa.metroscubicos.com/MLM-1423536942-comodidad-y-espacio-el-refugio-_JM,"$3,900,000",Querétaro,Residencial El Refugio,154 m²,188 m²,7,3,3,3,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423069600,querétaro,casa,https://casa.metroscubicos.com/MLM-1423069600-casa-en-venta-en-zaika-_JM,"$2,959,926",El Marqués,Zákia,128 m²,172 m²,,3,3,2,,1 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425464216,querétaro,o,https://casa.metroscubicos.com/MLM-1425464216-o-f-e-r-t-a-casa-en-venta-ubicada-en-loma-dorada-vm-_JM,"$5,695,000",Querétaro,Querétaro,339 m²,,6,3,4,2,,0 años,0 MXN,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423406221,querétaro,se,https://casa.metroscubicos.com/MLM-1423406221-se-vende-quinta-en-la-purisima-de-san-rafael-a-15-minutos-de-_JM,"$17,500,000",Corregidora,Purísima De San Rafael,20000 m²,1 m²,6,3,3,,,22 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423419384,querétaro,casa,https://casa.metroscubicos.com/MLM-1423419384-casa-nueva-en-venta-el-pueblito-_JM,"$2,500,000",Corregidora,La Cantera,158 m²,1 m²,6,3,2,2,,2 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424273061,querétaro,casa,https://casa.metroscubicos.com/MLM-1424273061-casa-con-recamara-en-pb-el-refugio-bojai-_JM,"$3,180,000",Querétaro,Residencial El Refugio,180 m²,141 m²,8,4,3,2,,5 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425308643,querétaro,casa,https://casa.metroscubicos.com/MLM-1425308643-casa-en-venta-a-estrenar-en-zakia-ig-_JM,"$2,793,000",El Marqués,Zákia,105 m²,118 m²,,3,3,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425961741,querétaro,casa,https://casa.metroscubicos.com/MLM-1425961741-casa-venta-mirador-vista-moderna-jardin-centrica-_JM,"$3,400,000",El Marqués,El Mirador,128 m²,180 m²,6,3,2,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425050278,querétaro,air,https://casa.metroscubicos.com/MLM-1425050278-air-22-5263-casa-en-venta-zona-zakia-preventa-_JM,"$3,269,000",El Marqués,Zákia,123 m²,162 m²,,3,3,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425075094,querétaro,venta,https://casa.metroscubicos.com/MLM-1425075094-venta-casa-en-zakia-_JM,"$3,269,000",El Marqués,Zákia,123 m²,161 m²,,3,3,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424730547,querétaro,hermosa,https://casa.metroscubicos.com/MLM-1424730547-hermosa-residencia-en-zibata-doble-altura-jardin-chimenea-_JM,"$4,395,000",El Marqués,Zibata,183 m²,210 m²,7,3,3,3,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423432364,querétaro,espaciosa,https://casa.metroscubicos.com/MLM-1423432364-espaciosa-casa-en-venta-zibata-queretaro-_JM,"$4,500,000",El Marqués,Zibata,166 m²,269 m²,7,3,3,3,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423419296,querétaro,estrena,https://casa.metroscubicos.com/MLM-1423419296-estrena-linda-casa-en-calle-cerrada-milenio-iii-queretaro-_JM,"$5,260,000",Querétaro,Milenio III,240 m²,228 m²,6,3,2,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424116036,querétaro,remate,https://casa.metroscubicos.com/MLM-1424116036-remate-bancario-en-fraccionamiento-real-del-marques-residencial-queretaro-_JM,"$788,000",Querétaro,Real del Marques Residencial,90 m²,,,3,1,1,,5 años,0 MXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423599139,querétaro,en,https://casa.metroscubicos.com/MLM-1423599139-en-venta-casa-en-zibata-doble-altura-3-recamaras-cochera-_JM,"$2,915,000",El Marqués,Zibata,123 m²,163 m²,6,3,2,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425431415,querétaro,casa,https://casa.metroscubicos.com/MLM-1425431415-casa-en-venta-remate-bancario-queretaro-excelente-oportunidad-70-por-debajo-del-precio-comercial-26-_JM,"$810,000",Querétaro,La Joya,150 m²,150 m²,1,4,3,4,,12 años,1 MXN,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1426092061,querétaro,bonita,https://casa.metroscubicos.com/MLM-1426092061-bonita-casa-venta-fraccionamiento-privado-cumbres-del-cimata-_JM,"$4,390,000",Querétaro,Cumbres del Cimatario,300 m²,265 m²,6,3,2,4,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425968084,querétaro,preciosa,https://casa.metroscubicos.com/MLM-1425968084-preciosa-casa-en-preventa-lucepolis-privada-en-milenio-iii-q-_JM,"$3,450,000",QuerÃ©taro,Milenio III,128 mÂ²,180 mÂ²,6,,,3,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424686789,querétaro,excelente,https://casa.metroscubicos.com/MLM-1424686789-excelente-casa-en-venta-en-calesa-2da-seccion-queretaro-_JM,"$3,900,000",Querétaro,Calesa 2a Sección,219 m²,219 m²,,4,2,2,,33 años,0 MXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423387091,querétaro,casa,https://casa.metroscubicos.com/MLM-1423387091-casa-en-venta-en-tejeda-_JM,"$3,350,000",Corregidora,Tejeda,200 m²,260 m²,8,3,4,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425888605,querétaro,rcs,https://casa.metroscubicos.com/MLM-1425888605-rcs-22-4502-hermosa-residencia-5-recamaras-exclusiva-zona-_JM,"$19,000,000",Querétaro,El Campanario,632 m²,502 m²,,5,6,3,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423660568,querétaro,casa,https://casa.metroscubicos.com/MLM-1423660568-casa-en-venta-en-altozano-_JM,"$10,850,000",QuerÃ©taro,Paseos Del Pedregal,258 mÂ²,412 mÂ²,7,,,3,,,,3,3,,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423451254,querétaro,casa,https://casa.metroscubicos.com/MLM-1423451254-casa-de-3-hab-en-cumbres-de-juriquilla-_JM,"$2,550,000",Querétaro,Juriquilla,126 m²,128 m²,6,3,2,2,,5 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422921868,querétaro,casa,https://casa.metroscubicos.com/MLM-1422921868-casa-en-venta-en-cumbres-del-lago-_JM,"$6,800,000",Querétaro,Cumbres Del Lago,354 m²,297 m²,6,3,3,4,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425994082,querétaro,casa,https://casa.metroscubicos.com/MLM-1425994082-casa-venta-centrica-fraccionamiento-el-mirador-roof-garden-y-_JM,"$2,270,000",El MarquÃ©s,El Mirador,144 mÂ²,124 mÂ²,6,,,3,,,,3,2,,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
