ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Antigüedad,RecÃ¡maras,BaÃ±os,Cuota mensual de mantenimiento,AntigÃ¼edad,Cantidad de pisos,Bodegas,Orientación,OrientaciÃ³n,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,DisposiciÃ³n,Acceso,Metros de frente,Metros de fondo,Forma del terreno,Disposición del lote,DisposiciÃ³n del lote
1426367618,quintana-roo,departamento,https://departamento.metroscubicos.com/MLM-1426367618-departamento-en-venta-en-corasol-_JM,"$12,100,000",Solidaridad/Riviera Maya,Corales,,186 m²,,3,2,,,,,,,,,,,,,,,,,,,,,,,
1426260511,quintana-roo,departamento,https://departamento.metroscubicos.com/MLM-1426260511-departamento-en-venta-en-bonampak-_JM,"$16,510,000",Cancún/Benito Juárez,Residencial Isla Azul,,574 m²,,2,2,1,,,,,,,,,,,,,,,,,,,,,,
1426254047,quintana-roo,departamento,https://departamento.metroscubicos.com/MLM-1426254047-departamento-en-venta-en-bonampak-_JM,"$24,148,000",Cancún/Benito Juárez,Residencial Isla Azul,,965 m²,,4,3,1,,,,,,,,,,,,,,,,,,,,,,
1426279623,quintana-roo,departamento,https://departamento.metroscubicos.com/MLM-1426279623-departamento-en-venta-en-puerto-cancun-_JM,"U$S951,000",CancÃºn/Benito JuÃ¡rez,ParaÃ­so CancÃºn,,313 mÂ²,,,,,,3,3,,,,,,,,,,,,,,,,,,,
1423930638,quintana-roo,departamento,https://departamento.metroscubicos.com/MLM-1423930638-departamento-en-venta-en-av-nader-con-sistema-inteligente-quintana-roo-_JM,"$5,307,425",Cancún/Benito Juárez,Supermanzana 3 Centro,94 m²,,,2,2,1,0 años,,,0 MXN,,,,,,,,,,,,,,,,,,
1424018830,quintana-roo,departamento,https://departamento.metroscubicos.com/MLM-1424018830-departamento-en-preventa-en-cancun-con-credito-hipotecario-con-scotiabank-_JM,"$5,281,020",Cancún/Benito Juárez,Supermanzana 3 Centro,94 m²,,,2,2,1,0 años,,,0 MXN,,,,,,,,,,,,,,,,,,
1423597992,quintana-roo,condos,https://departamento.metroscubicos.com/MLM-1423597992-condos-costa-caribe-en-venta-ubicados-en-tulum-_JM,"U$S171,958",Tulum,Aldea Zama,56 m²,56 m²,2,1,1,,0 años,,,,,,,,,,,,,,,,,,,,,
1423432912,quintana-roo,pre,https://departamento.metroscubicos.com/MLM-1423432912-pre-venta-departamentos-en-desarrollo-aruma-en-tulum-_JM,"$2,100,000",Tulum,Region 9 Veleta,45 m²,45 m²,2,1,1,,0 años,,,,,,,,,,,,,,,,,,,,,
1423419287,quintana-roo,invierte,https://departamento.metroscubicos.com/MLM-1423419287-invierte-en-un-maravilloso-lugar-en-playa-del-carmen-lore-_JM,"U$S244,000",Solidaridad/Riviera Maya,Ciudad Playa Del Carmen,94 m²,94 m²,4,2,2,1,0 años,,,,,,,,,,,,,,,,,,,,,
1422815014,quintana-roo,exclusivos,https://departamento.metroscubicos.com/MLM-1422815014-exclusivos-departamentos-en-el-corazon-de-tulum-_JM,"U$S260,000",Tulum,Aldea Zama,,92.8 m²,,1,1,,0 años,,,0 MXN,,,,Norte,,,,,,,,,,,,,,
