ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,OrientaciÃ³n,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Tipo de departamento,Disposición del lote
1389597116,baja-california,deptos,https://departamento.metroscubicos.com/MLM-1389597116-deptos-en-venta-en-real-de-rosarito-ii-rosarito-bc-_JM,"$730,000",Playas De Rosarito,Rosarito,48 m²,48 m²,,2,1,1,,,,1 años,,,,,,,,,,,,,,,,,,
1387477234,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1387477234-departamento-en-venta-centro-_JM,"U$S254,000",Los Cabos,Centro (Privada Perla),,135 m²,,3,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1385573321,baja-california,se,https://departamento.metroscubicos.com/MLM-1385573321-se-vende-departamento-de-2-recamaras-en-3ra-etapa-de-zona-ri-_JM,"$3,860,799",Tijuana,Río Tijuana 3a Etapa,78 m²,78 m²,4,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,
1405750904,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1405750904-departamento-en-venta-el-tezal-_JM,"$3,150,000",Los Cabos,El Tezal,,100 mÂ²,,,,,,,,,,2,2,0 aÃ±os,,,,,,,,,,,,,,
1399185725,baja-california,009,https://departamento.metroscubicos.com/MLM-1399185725-009-24venta-de-departamento-en-remate-bancomer-ubicado-en-avenida-baja-california-114-roma-sur-cdmx-110m2-excelente-oportunidad-_JM,"$846,333",Cuauhtémoc,Roma Sur,100 m²,100 m²,,2,2,1,,,,,1 MXN,,,,,,,,,,,,,,,,,
1395777860,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1395777860-departamento-en-venta-cabo-san-lucas-centro-_JM,"U$S290,600",Los Cabos,Cabo San Lucas Centro,,130 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1416226265,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1416226265-departamento-en-venta-pueblo-bonito-sunset-_JM,"$3,050,000",Los Cabos,Colonia Pablo L Martinez,,100 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1394023018,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1394023018-departamento-en-venta-cabo-san-lucas-centro-_JM,"$2,990,000",Los Cabos,Cabo San Lucas Centro,,100 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1393985856,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1393985856-departamento-en-venta-cabo-san-lucas-centro-_JM,"U$S290,600",Los Cabos,Cabo San Lucas Centro,,200 mÂ²,,,,,,,,,,2,2,0 aÃ±os,,,,,,,,,,,,,,
1413353511,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1413353511-departamento-en-venta-el-tezal-_JM,"$3,700,000",Los Cabos,El Tezal,,100 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1422063038,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1422063038-departamento-en-venta-miramar-_JM,"$1,550,000",Los Cabos,Miramar,,100 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1420150173,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1420150173-departamento-en-venta-baja-maq-el-aguila-_JM,"$205,000",Tijuana,Baja Maq. El Aguila,,50 m²,,2,1,,,,,0 años,,,,,,,,,,,,,,,,,,
1416206859,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1416206859-departamento-en-venta-pueblo-bonito-sunset-_JM,"$3,250,000",Los Cabos,Colonia Pablo L Martinez,,100 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1414705478,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1414705478-departamento-en-venta-pueblo-bonito-sunset-_JM,"U$S254,000",Los Cabos,Colonia Pablo L Martinez,,100 mÂ²,,,,,,,,,,3,2,0 aÃ±os,,,,,,,,,,,,,,
1389218980,baja-california,009,https://departamento.metroscubicos.com/MLM-1389218980-009-23-excelente-departamento-ubicado-en-baja-california-114-roma-sur-en-gran-remate-bancario-_JM,"$846,333",Cuauhtémoc,Roma Sur,80 m²,80 m²,,2,2,1,,,,,2 MXN,,,,,,,,,,,,,,,,,
1308563463,baja-california,venta,https://departamento.metroscubicos.com/MLM-1308563463-venta-o-renta-depto-con-terraza-los-cabos-apa1839-jc-_JM,"U$S395,000",Los Cabos,San José del Cabo (Los Cabos),188 m²,188 m²,,3,3,2,,,,4 años,4500 MXN,,,,,,,,1,,,,,,,,,
944555666,baja-california,departamentos,https://departamento.metroscubicos.com/MLM-944555666-departamentos-en-venta-en-fracc-la-cacho-tijuana-bc-_JM,"U$S350,000",Tijuana,Zona Urbana Río Tijuana,125 m²,125 m²,,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,
1383639288,baja-california,venta,https://departamento.metroscubicos.com/MLM-1383639288-venta-de-condominios-preventa-tipo-townhome-en-montebello-privada-cobalto-_JM,"$2,390,800",Tijuana,Terrazas De La Presa,69 m²,69 m²,,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,
932385545,baja-california,casas,https://departamento.metroscubicos.com/MLM-932385545-casas-en-venta-en-playas-de-rosarito-bc-_JM,"U$S199,000",Playas De Rosarito,Rosarito,120 m²,76 m²,,2,2,1,,,,0 años,,,,,,,,,,,,,,,,,,
1387488676,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1387488676-departamento-en-venta-el-tezal-_JM,"$3,700,000",Los Cabos,El Tezal,,150 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
932385548,baja-california,casas,https://departamento.metroscubicos.com/MLM-932385548-casas-en-venta-en-playas-de-rosarito-bc-_JM,"U$S289,000",Playas De Rosarito,Rosarito,120 m²,150 m²,,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,
922370171,baja-california,departamento,https://departamento.metroscubicos.com/MLM-922370171-departamento-en-venta-real-de-la-frontera-_JM,"$394,000",Tijuana,Real De La Frontera,,51 mÂ²,,,,,,,,,,2,1,0 aÃ±os,,,,,,,,,,,,,,
1400340977,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1400340977-departamento-en-venta-colinas-del-alamar-torres-del-lago-_JM,"$460,000",Tijuana,Colinas del Alamar,,61 m²,,2,1,,,,,0 años,,,,,,,,,,,,,,,,,,
1377278454,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1377278454-departamento-en-venta-madero-cacho-_JM,"U$S340,751",Tijuana,Madero (Cacho),,165 m²,,3,2,,,,,3 años,,,,,,,,,,,,,,,,,,
