ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno
1338043584,campeche,hermosa,https://casa.metroscubicos.com/MLM-1338043584-hermosa-casa-en-residencial-las-palmas-_JM,"$3,300,000",Carmen,Residencial Las Palmas,176 m²,,4,3,4,,11 años,,200 m²,,,,,,,,,,,,,,
1387512900,campeche,casa,https://casa.metroscubicos.com/MLM-1387512900-casa-en-venta-en-campeche-campeche-vcr-_JM,"$2,176,900",Campeche,San José,270 m²,,4,2,1,2,,,346 m²,,,,Sur,1,,,,,,,,,
1421596368,campeche,casa,https://casa.metroscubicos.com/MLM-1421596368-casa-sola-en-venta-lazaro-cardenas-_JM,"$4,600,000",Candelaria,Ejido Lázaro Cárdenas,470 m²,,5,4,,,0 años,,570 m²,,,,,,,,,,,,,,
1396928447,campeche,casa,https://casa.metroscubicos.com/MLM-1396928447-casa-en-venta-en-bethania-campeche-casa-de-campo-bethania-_JM,"$1,115,000",Campeche,San Francisco,768 m²,5,2,2,1,,0 años,,362 m²,,,,,,,,,,,,,,
1384557231,campeche,casa,https://casa.metroscubicos.com/MLM-1384557231-casa-sola-en-venta-volcanes-_JM,"$1,850,000",Carmen,Volcanes,128 m²,,3,3,,,0 años,,183 m²,,,,,,,,,,,,,,
1348037084,campeche,casa,https://casa.metroscubicos.com/MLM-1348037084-casa-en-venta-san-baltazar-campeche-puebla-_JM,"$10,500,000",Puebla,San Baltazar Lindavista,658 m²,,4,2,6,2,30 años,0 MXN,,,,,,,,,,,,,,,
1317137271,campeche,9413,https://casa.metroscubicos.com/MLM-1317137271-9413-campeche-chalma-de-guadalupe-_JM,"$2,500,000",Gustavo A. Madero,Chalma De Guadalupe,296 m²,,8,4,1,,,,244 m²,,,,,,,,,,,,,,
1417155009,campeche,casa,https://casa.metroscubicos.com/MLM-1417155009-casa-en-venta-en-maderas-carmen-campeche-dcch-_JM,"$278,921",Carmen,Maderas,100 m²,,3,2,1,2,12 años,,120 m²,,,,,,,,,,,,,,
865953720,campeche,casa,https://casa.metroscubicos.com/MLM-865953720-casa-local-comercial-en-colonia-centro-en-venta-_JM,"$8,800,000",Carmen,Ciudad Del Carmen Centro,409 m²,5,2,2,2,,0 años,,1 m²,,,,,,,,,,,,,,
871936722,campeche,venta,https://casa.metroscubicos.com/MLM-871936722-venta-de-casa-en-malibran-_JM,"$5,500,000",Carmen,Malibran,600 m²,4,2,2,,,0 años,,174 m²,,,,,,,,,,,,,,
