ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Ambientes,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,OrientaciÃ³n,Orientación,Bodegas,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1393670000,nayarit,villas,https://casa.metroscubicos.com/MLM-1393670000-villas-residenciales-de-lujo-en-punta-de-mita-susurros-del-corazon-_JM,"U$S2,200,000",BahÃ­a De Banderas,Punta De Mita,224 mÂ²,224 mÂ²,,,,,,0 MXN,,2,2,0 aÃ±os,Sur,,,,,,,,,,,,,,
1382150643,nayarit,casa,https://casa.metroscubicos.com/MLM-1382150643-casa-mercurio-de-san-pancho-soho-en-san-francisco-nayarit-_JM,"U$S350,000",Bahía De Banderas,San Pancho,83.41 m²,144 m²,2,2,1,,0 años,4610 MXN,,,,,,,,,,,,,,,,,,,
1319149148,nayarit,hermosa,https://casa.metroscubicos.com/MLM-1319149148-hermosa-casa-en-los-ayala-_JM,"U$S399,000",Compostela,La Peñita De Jaltemba Centro,992.78 m²,308.4 m²,3,3,2,2,0 años,0 MXN,2,,,,,Norte,,,,,,,,,,,,,
1395623738,nayarit,casa,https://casa.metroscubicos.com/MLM-1395623738-casa-de-lujo-en-venta-con-vista-y-acceso-al-mar-puerto-val-_JM,"$120,000,000",BahÃ­a De Banderas,Cruz De Huanacaxtle,1386 mÂ²,1300 mÂ²,,,8,,,,19,7,8,0 aÃ±os,,,,,,,,,,,,,,,
1353749850,nayarit,pre,https://casa.metroscubicos.com/MLM-1353749850-pre-venta-de-casas-en-residencial-rojo-carmin-san-vicente-n-_JM,"$2,356,000",Bahía De Banderas,Haciendas De San Vicente,136 m²,104 m²,3,2,2,,0 años,,6,,,,,,,,,,,,,,,,,,
1395623752,nayarit,casa,https://casa.metroscubicos.com/MLM-1395623752-casa-de-super-lujo-frente-al-mar-en-venta-punta-de-mita-puer-_JM,"$380,000,000",BahÃ­a De Banderas,BahÃ­a de Banderas,6900 mÂ²,1486 mÂ²,,,,,,,14,7,7,0 aÃ±os,,,,,,,,,,,,,,,
1400920598,nayarit,casa,https://casa.metroscubicos.com/MLM-1400920598-casa-en-la-playa-con-privacidad-y-tranquilidad-playa-tortugas-riviera-nayarit-_JM,"U$S725,000",Compostela,Otates Y Cantarranas,2800 mÂ²,294 mÂ²,,,,,,,,3,3,,,,,,,,,,,,,,,,
809909139,nayarit,casa,https://casa.metroscubicos.com/MLM-809909139-casa-en-venta-nayarit-colonia-petrolera-_JM,"$3,300,000",Coatzacoalcos,Petrolera,245 m²,245 m²,3,2,2,,0 años,0 MXN,,,,,,,,,,,,,,,,,,,
870916429,nayarit,residencia,https://casa.metroscubicos.com/MLM-870916429-residencia-en-venta-en-fracc-lago-david-tepic-m-_JM,"$8,000,000",Tepic,El Armadillo,300 mÂ²,300 mÂ²,,,4,,,,9,4,3,0 aÃ±os,,,,,,,,,,,,,,,
932433172,nayarit,terreno,https://casa.metroscubicos.com/MLM-932433172-terreno-con-casa-en-venta-en-puga-nay-cg-_JM,"$350,000",Tepic,Francisco I Madero,128 m²,1 m²,1,1,,,0 años,,2,,,,,,,,,,,,,,,,,,
1372930937,nayarit,se,https://casa.metroscubicos.com/MLM-1372930937-se-vende-hermosa-y-amplia-casa-en-el-centro-de-tepic-nayarit-muy-barata-_JM,"$910,000",Tepic,Tepic Centro,244 m²,187 m²,3,2,1,,,,,,,,,,,,,,,,,,,,,,
1398119545,nayarit,casa,https://casa.metroscubicos.com/MLM-1398119545-casa-nuevo-vallarta-_JM,"U$S478,614",Nayarit,Bahía De Banderas,239 m²,,3,3,2,2,0 años,0 MXN,,,,,,,,,,,,,,,,,,,
