ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1323802793,oaxaca,casa,https://casa.metroscubicos.com/MLM-1323802793-casa-sola-en-venta-san-felipe-del-agua-_JM,"$16,000,000",Oaxaca De Juárez,San Felipe Del Agua 1,658 m²,430 m²,,3,3,,,0 años,,,,,,,,,,,,,,,,,,,
1408015078,oaxaca,casa,https://casa.metroscubicos.com/MLM-1408015078-casa-en-venta-en-huatulco-_JM,"$3,400,000",Santa Maria Huatulco,Aeropuerto De Bahias De Huatulco,998 m²,330 m²,,6,5,,,0 años,,,,,,,,,,,,,,,,,,,
893200147,oaxaca,casa,https://casa.metroscubicos.com/MLM-893200147-casa-sola-en-venta-6-de-enero-_JM,"$2,000,000",Oaxaca,San Pablo Etla,845 m²,346 m²,,3,4,,,0 años,,,,,,,,,,,,,,,,,,,
927036103,oaxaca,casa,https://casa.metroscubicos.com/MLM-927036103-casa-fraccionamiento-los-angeles-_JM,"$1,700,000",Oaxaca,San Juan Bautista Tuxtepec,191 m²,,,2,3,1,,0 años,0 MXN,,,,,,,,,,,,,,,,,,
1365021812,oaxaca,inigualable,https://casa.metroscubicos.com/MLM-1365021812-inigualable-oportunidad-casa-en-venta-_JM,"$15,000,000",Oaxaca De Juárez,San Felipe Del Agua 1,777 m²,549 m²,,3,3,2,,0 años,,,,,,,,2,,,,,,,,,,,
1339197627,oaxaca,en,https://casa.metroscubicos.com/MLM-1339197627-en-venta-casa-en-real-de-candiani-oaxaca-de-juarez-_JM,"$24,066,000",Oaxaca De Juárez,Otra Colonia,459 m²,447 m²,,3,4,2,,5 años,,,,,,,,,,,,,,,,,,,
1312160885,oaxaca,en,https://casa.metroscubicos.com/MLM-1312160885-en-venta-casa-en-san-martin-mexicapam-oaxaca-oax-_JM,"$3,500,000",Oaxaca De Juárez,Agencia Municipal San Martin Mexicapan,148 m²,127 m²,,4,2,1,,10 años,,,,,,,,,,,,,,,,,,,
1353170670,oaxaca,en,https://casa.metroscubicos.com/MLM-1353170670-en-venta-casa-en-el-centro-de-xoxocotlan-oaxaca-_JM,"$1,290,000",Santa Cruz Xoxocotlan,Xoxocotlan,180 m²,60 m²,,2,1,3,,5 años,,,,,,,,,,,,,,,,,,,
1335873565,oaxaca,en,https://casa.metroscubicos.com/MLM-1335873565-en-venta-propiedad-en-oaxaca-de-juarez-oaxaca-_JM,"$31,563,840",Oaxaca De Juárez,Oaxaca Centro,1127.28 m²,1144.77 m²,,4,2,8,,40 años,,,,,,,,,,,,,,,,,,,
924734687,oaxaca,en,https://casa.metroscubicos.com/MLM-924734687-en-venta-casa-en-la-colonia-libertad-oaxaca-_JM,"$3,800,000",Oaxaca De Juárez,Libertad,127 m²,127 m²,,4,3,,,20 años,,,,,,,,,,,,,,,,,,,
924353586,oaxaca,casa,https://casa.metroscubicos.com/MLM-924353586-casa-en-venta-en-el-fraccionamiento-alamos-en-oaxaca-oaxaca-_JM,"$1,180,000",Oaxaca De Juárez,Los Alamos,49 m²,49 m²,,4,2,1,,15 años,,,,,,,,,,,,,,,,,,,
1349809450,oaxaca,en,https://casa.metroscubicos.com/MLM-1349809450-en-venta-casa-en-ex-hacienda-la-soledad-santa-maria-atzompa-oaxaca-oax-_JM,"$6,000,000",Santa Maria Atzompa,Ex-Hacienda la Soledad,1050 m²,350 m²,,3,3,15,,10 años,,,,,,,,,,,,,,,,,,,
1353726637,oaxaca,en,https://casa.metroscubicos.com/MLM-1353726637-en-venta-bonita-casa-en-el-fracc-la-popular-victoria-oaxaca-de-juarez-oaxaca-_JM,"$3,700,000",Oaxaca De Juárez,Popular Victoria,250.5 m²,200.39 m²,,4,3,2,,10 años,,,,,,,,,,,,,,,,,,,
1335843079,oaxaca,en,https://casa.metroscubicos.com/MLM-1335843079-en-venta-casa-en-la-colonia-eucalipto-pueblo-nuevo-oaxaca-_JM,"$2,800,000",Oaxaca De JuÃ¡rez,Pueblo Nuevo,395 mÂ²,220 mÂ²,,,,2,,,,4,2,,15 aÃ±os,,,,,,,,,,,,,,
