ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Tipo de casa,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Cantidad de pisos,Tipo de propiedad,OrientaciÃ³n,Tipo de departamento,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,Disposición,Acceso,Forma del terreno,DisposiciÃ³n del lote,Metros de frente,Metros de fondo,Disposición del lote
925311842,michoacán,casa,https://casa.metroscubicos.com/MLM-925311842-casa-sola-en-venta-fracc-jardines-de-torremolinos-_JM,"$3,800,000",Morelia,Jardines De Torremolinos,160 m²,260 m²,,4,4,,,,,0 años,,,,,,,,,,,,,,,,,,
1386541477,michoacán,casa,https://casa.metroscubicos.com/MLM-1386541477-casa-en-venta-en-altozano-fracc-rincon-de-la-montana-mor-_JM,"$7,000,000",Morelia,Altozano,305 mÂ²,330 mÂ²,8,,,3,,,,,,4,3,0 aÃ±os,,,,,,,,,,,,,,
1339230663,michoacán,casa,https://casa.metroscubicos.com/MLM-1339230663-casa-en-preventa-en-lomalta-tres-marias-morelia-_JM,"$3,450,000",Morelia,Tres MarÃ­as,156 mÂ²,190 mÂ²,9,,,2,,,,,,4,5,0 aÃ±os,,,,,,,,,,,,,,
1315003390,michoacán,casa,https://casa.metroscubicos.com/MLM-1315003390-casa-en-venta-en-campo-de-golf-altozano-morelia-_JM,"$8,500,000",Morelia,Altozano,301 mÂ²,350 mÂ²,10,,,3,,,,,,4,5,0 aÃ±os,,,,,,,,,,,,,,
1401336396,michoacán,oportunidad,https://casa.metroscubicos.com/MLM-1401336396-oportunidad-casa-moderna-en-venta-en-villas-del-sol-en-patzcuaro-_JM,"$2,950,000",Michoacán,Pátzcuaro,200 m²,250 m²,,3,2,2,,,,3 años,,,,,,,,,,,,,,,,,,
1400563362,michoacán,casa,https://casa.metroscubicos.com/MLM-1400563362-casa-sola-en-venta-morelia-centro-_JM,"$6,900,000",Morelia,Morelia Centro,250 m²,420 m²,,5,5,,,,,0 años,,,,,,,,,,,,,,,,,,
1391846782,michoacán,casa,https://casa.metroscubicos.com/MLM-1391846782-casa-sola-en-venta-club-altozano-_JM,"$18,000,000",Morelia,Club Campestre,534 mÂ²,680 mÂ²,,,,,,,,,,3,3,0 aÃ±os,,,,,,,,,,,,,,
1391467358,michoacán,casa,https://casa.metroscubicos.com/MLM-1391467358-casa-sola-en-venta-felix-ireta-_JM,"$5,900,000",Morelia,Félix Ireta,650 m²,450 m²,,4,6,,,,,22 años,,,,,,,,,,,,,,,,,,
1335827952,michoacán,casa,https://casa.metroscubicos.com/MLM-1335827952-casa-sola-en-venta-altozano-_JM,"$3,600,000",Morelia,Altozano,180 mÂ²,320 mÂ²,,,,,,,,,,4,4,3 aÃ±os,,,,,,,,,,,,,,
1313901062,michoacán,casa,https://casa.metroscubicos.com/MLM-1313901062-casa-sola-en-venta-jardines-de-guadalupe-_JM,"$1,990,000",Morelia,Jardines De Guadalupe,198 m²,215 m²,,3,4,,,,,0 años,,,,,,,,,,,,,,,,,,
