ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Antigüedad,Orientación,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Ambientes,Cantidad de pisos,OrientaciÃ³n,Bodegas,Tipo de casa,Tipo de propiedad,Número de piso de la unidad,Disposición,Departamentos por piso,Acceso,Forma del terreno,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Disposición del lote
1400458935,tabasco,casa,https://casa.metroscubicos.com/MLM-1400458935-casa-sola-en-venta-casa-blanca-_JM,"$1,350,000",Centro,Casa Blanca 1a Sección,150 m²,245 m²,4,4,,0 años,,,,,,,,,,,,,,,,,,,,
1400454754,tabasco,casa,https://casa.metroscubicos.com/MLM-1400454754-casa-sola-en-venta-fracc-la-ceiba-_JM,"$3,800,000",Tabasco,Centro,200 m²,320 m²,3,4,,35 años,,,,,,,,,,,,,,,,,,,,
1388266146,tabasco,casa,https://casa.metroscubicos.com/MLM-1388266146-casa-sola-en-venta-buenavista-2da-secc-_JM,"$750,000",Centro,Anacleto Canabal 2da. SecciÃ³n,516 mÂ²,91 mÂ²,,,,,,,3,1,16 aÃ±os,,,,,,,,,,,,,,,
1388279128,tabasco,casa,https://casa.metroscubicos.com/MLM-1388279128-casa-sola-en-venta-primera-de-mayo-_JM,"$4,400,000",Centro,Mayito,200 m²,220 m²,3,5,,2 años,,,,,,,,,,,,,,,,,,,,
1346102094,tabasco,casa,https://casa.metroscubicos.com/MLM-1346102094-casa-sola-en-venta-el-recreo-_JM,"$2,750,000",Centro,El Recreo,140 m²,230 m²,3,4,,0 años,,,,,,,,,,,,,,,,,,,,
1323974207,tabasco,casas,https://casa.metroscubicos.com/MLM-1323974207-casas-en-venta-en-jesus-garcia-centro-_JM,"$8,000,000",Villahermosa,Jesús García,274 m²,329 m²,3,3,,,,,,,,,,,,,,,,,,,,,,
1421705079,tabasco,casa,https://casa.metroscubicos.com/MLM-1421705079-casa-en-venta-en-pomoca-_JM,"$1,890,000",Nacajuca,Pomoca,108 m²,185 m²,3,3,2,,,,,,,,,,,,,,,,,,,,,
1420142561,tabasco,casa,https://casa.metroscubicos.com/MLM-1420142561-casa-en-venta-sol-campestre-_JM,"$3,500,000",Centro,Arboledas,129 mÂ²,249 mÂ²,,,2,,,,3,2,4 aÃ±os,,,,,,,,,,,,,,,
1390207570,tabasco,casa,https://casa.metroscubicos.com/MLM-1390207570-casa-sola-en-venta-fracc-bonanza-premier-_JM,"$7,000,000",Tabasco,Centro,400 m²,600 m²,4,4,,0 años,,,,,,,,,,,,,,,,,,,,
1333899910,tabasco,casa,https://casa.metroscubicos.com/MLM-1333899910-casa-en-venta-en-miguel-hidalgo-_JM,"$1,850,000",Centro,Miguel Hidalgo,159.8 m²,143.91 m²,,3,3,10 años,,,,,,,,,,,,,,,,,,,,
933903496,tabasco,casa,https://casa.metroscubicos.com/MLM-933903496-casa-en-venta-en-macuspana-tabasco-_JM,"$2,600,000",Macuspana,Macuspana Centro,230 m²,230 m²,3,3,1,0 años,,0 MXN,,,,,,,,,,,,,,,,,,
1421743946,tabasco,casa,https://casa.metroscubicos.com/MLM-1421743946-casa-en-venta-en-fraccionamiento-residencial-nuevo-campestre-_JM,"$3,500,000",Tabasco,Nacajuca,408 m²,288 m²,3,4,2,,,,,,,,,,,,,,,,,,,,,
1421692435,tabasco,casa,https://casa.metroscubicos.com/MLM-1421692435-casa-en-venta-en-real-campestre-_JM,"$3,100,000",Tabasco,Nacajuca,160 m²,1 m²,3,3,2,,,,,,,,,,,,,,,,,,,,,
1408235927,tabasco,casa,https://casa.metroscubicos.com/MLM-1408235927-casa-fraccionamiento-villa-de-las-flores-_JM,"$800,000",Villahermosa,Villa De Las Flores,95 m²,,3,2,1,0 años,,0 MXN,,,,,2,,,,,,,,,,,,,
1395657917,tabasco,casa,https://casa.metroscubicos.com/MLM-1395657917-casa-sola-en-venta-quintin-arauz-_JM,"$1,800,000",Paraíso,Quintín Arauz,242 m²,207 m²,3,3,,3 años,,,,,,,,,,,,,,,,,,,,
1421705073,tabasco,casa,https://casa.metroscubicos.com/MLM-1421705073-casa-en-venta-en-europa-_JM,"$1,900,000",Tabasco,Nacajuca,98 m²,130 m²,3,2,1,,,,,,,,,,,,,,,,,,,,,
1421717970,tabasco,casa,https://casa.metroscubicos.com/MLM-1421717970-casa-en-venta-en-fracc-laguna-tenerife-_JM,"$1,525,000",Nacajuca,Tenerife,201 m²,86 m²,2,1,2,,,,,,,,,,,,,,,,,,,,,
805501487,tabasco,estrena,https://casa.metroscubicos.com/MLM-805501487-estrena-casa-en-altozano-tabasco-modelo-garza-valle-6-villahermosa-_JM,"$2,048,869",Villahermosa,Aeropuerto De La Ciudad De Villahermosa,121 mÂ²,,,,2,,,0 MXN,3,2,0 aÃ±os,,2,,,,,,,,,,,,,
805503736,tabasco,casa,https://casa.metroscubicos.com/MLM-805503736-casa-en-venta-en-brisas-del-carrizal-vhsa-_JM,"$2,500,000",Tabasco,Nacajuca,250 m²,250 m²,3,3,,6 años,,0 MXN,,,,,,,,,,,,,,,,,,
1331826901,tabasco,casa,https://casa.metroscubicos.com/MLM-1331826901-casa-sola-en-venta-residencial-zafiro-_JM,"$2,350,000",Centro,Jose N Rovirosa,140 m²,194 m²,3,3,,11 años,,,,,,,,,,,,,,,,,,,,
1395768388,tabasco,casa,https://casa.metroscubicos.com/MLM-1395768388-casa-sola-en-venta-fracc-villa-los-arcos-_JM,"$2,600,000",Centro,Villa de los Arcos,126 m²,163 m²,3,3,,0 años,,,,,,,,,,,,,,,,,,,,
1395632961,tabasco,casa,https://casa.metroscubicos.com/MLM-1395632961-casa-sola-en-venta-morelos-_JM,"$3,950,000",Tabasco,Comalcalco,600 m²,450 m²,3,3,,0 años,,,,,,,,,,,,,,,,,,,,
963406003,tabasco,casa,https://casa.metroscubicos.com/MLM-963406003-casa-nueva-en-venta-en-el-country-villahermosa-fraccionamiento-real-campestre-_JM,"$3,015,070",Centro,El Country,,292 mÂ²,,,2,,,0 MXN,3,2,0 aÃ±os,,,,,,,,,,,,,,,
922737341,tabasco,casa,https://casa.metroscubicos.com/MLM-922737341-casa-sola-en-venta-real-campestre-en-zona-country-cluster-7-modelo-quebec-ii-_JM,"$2,499,900",Tabasco,Centro,105 mÂ²,185 mÂ²,,,,,,,3,4,2 aÃ±os,,,,,,,,,,,,,,,
