id,entidad,colonia,municipio,codigo_postal,tipo,m2Terreno,m2Construccion,recamaras,banos,medio_bano,Ba�os,estacionamientos,pisos,antiguedad,cuotaMantto,precioSalida,precioVenta
35676,CIUDAD DE MEXICO,TACUBA,MIGUEL HIDALGO,11410,CASA,250,250,4,3,,3,4,2,ENTRE 21 - 30 AÑOS,,5400000,5300000
35677,CIUDAD DE MEXICO,SAN JOSE INSURGENTES,BENITO JUAREZ,3900,DEPARTAMENTO,,0,2,2,,2,1,,ENTRE 11 - 15 AÑOS,"3,403",3850000,3850000
35680,CIUDAD DE MEXICO,DEL RECREO,AZCAPOTZALCO,2070,DEPARTAMENTO,,51,2,1,,1,1,4,ENTRE 6 - 10 AÑOS,,1790000,1790000
35682,CIUDAD DE MEXICO,UNIDAD MODELO,IZTAPALAPA,9089,CASA,222,0,5,4,,4,3,2,MAS DE 30,,5300000,5200000
35683,CIUDAD DE MEXICO,PEDREGAL DE SANTA URSULA,COYOACAN,4600,TERRENO,250,,,,,0,,,,,4450000,4450000
35685,CIUDAD DE MEXICO,SAN PEDRO DE LOS PINOS,BENITO JUAREZ,3800,CASA,290,350,8,4,1,4.5,5,3,MAS DE 30,,9000000,9000000
35687,CIUDAD DE MEXICO,SECTOR NAVAL,AZCAPOTZALCO,2080,DEPARTAMENTO,,40,1,1,,1,,4,ENTRE 21 - 30 AÑOS,,1150000,1150000
35690,CIUDAD DE MEXICO,MIGUEL HIDALGO 3A SECCION,TLALPAN,14250,DEPARTAMENTO,,95,2,1,,1,1,3,ENTRE 16 - 20 AÑOS,,2200000,2000000
35691,CIUDAD DE MEXICO,POLANCO V SECCION,MIGUEL HIDALGO,11560,DEPARTAMENTO,,100,2,2,,2,,4,MAS DE 30,,5000000,5000000
35692,ESTADO DE MEXICO,CIUDAD SATELITE,NAUCALPAN DE JUAREZ,53100,DEPARTAMENTO,,79,2,1,,1,1,6,MAS DE 30,1000,3088000,2600000
35695,CIUDAD DE MEXICO,INDEPENDENCIA,BENITO JUAREZ,3630,DEPARTAMENTO,,62,2,1,,1,1,5,ENTRE 6 - 10 AÑOS,1490,2250000,2250000
35697,ESTADO DE MEXICO,LOMAS DE BELLAVISTA,ATIZAPAN DE ZARAGOZA,52994,CASA,380,320,4,3,1,3.5,5,,,,6800000,6800000
35701,CIUDAD DE MEXICO,VILLA COAPA,TLALPAN,14390,DEPARTAMENTO,,65,3,1,,1,,4,MAS DE 30,,1500000,1400000
35703,CIUDAD DE MEXICO,ROMA NORTE,CUAUHTEMOC,6700,DEPARTAMENTO,,47,2,1,,1,,3,MAS DE 30,N/A,1600000,1600000
35704,CIUDAD DE MEXICO,RESIDENCIAL VILLA COAPA,TLALPAN,14390,CASA,162,220,4,4,,4,2,3,ENTRE 11 - 15 AÑOS,,6690000,6490000
35708,PUEBLA,LOMA LINDA,PUEBLA,72477,LOCAL COMERCIAL,583,200,,8,1,8.5,6,,ENTRE 11 - 15 AÑOS,,5800000,5800000
35719,CIUDAD DE MEXICO,EL MIRADOR,COYOACAN,4950,DEPARTAMENTO,,65,2,2,,2,1,3,ENTRE 6 - 10 AÑOS,$950,2850000,2695000
35722,CIUDAD DE MEXICO,PEDREGAL DE CARRASCO,COYOACAN,4700,DEPARTAMENTO,,75,3,1,,1,,4,MAS DE 30,175,2500000,2400000
35723,CIUDAD DE MEXICO,SAN RAFAEL,CUAUHTEMOC,6470,DEPARTAMENTO,,75,2,2,,2,1,4,ENTRE 6 - 10 AÑOS,1300,3690000,3590000
35724,CIUDAD DE MEXICO,DEL VALLE SUR,BENITO JUAREZ,3100,DEPARTAMENTO,,176,2,2,1,2.5,2,5,ENTRE 0 - 5 AÑOS,,6350000,6350000
35732,CIUDAD DE MEXICO,ALAMOS,BENITO JUAREZ,3400,CASA,200,200,,,,0,,,MAS DE 30,,8000000,8000000
35735,CIUDAD DE MEXICO,HEROES DE CHURUBUSCO,IZTAPALAPA,9090,CASA,139,145,4,5,,5,1,,,,3700000,3700000
35736,CIUDAD DE MEXICO,SAN RAFAEL,CUAUHTEMOC,6470,DEPARTAMENTO,,135,2,2,,2,,4,MAS DE 30,200,3495000,3200000
35740,CIUDAD DE MEXICO,ANZURES,MIGUEL HIDALGO,11590,DEPARTAMENTO,,100,2,1,,1,1,3,MAS DE 30,728,4000000,3800000
35748,CIUDAD DE MEXICO,SANTIAGO SUR,IZTACALCO,8800,CASA,320,500,,,,0,,3,ENTRE 21 - 30 AÑOS,,11000000,11000000
35751,CIUDAD DE MEXICO,EL SIFON,IZTAPALAPA,9400,CASA,228,218,7,2,1,2.5,1,2,ENTRE 21 - 30 AÑOS,,2500000,2500000
35753,CIUDAD DE MEXICO,PRADOS DEL ROSARIO,AZCAPOTZALCO,2410,DEPARTAMENTO,,57,2,1,,1,1,4,ENTRE 16 - 20 AÑOS,,1500000,1400000
35754,CIUDAD DE MEXICO,PUEBLO DE LOS REYES,COYOACAN,4330,CASA EN CONDOMINIO,122,139,7,3,1,3.5,1,,ENTRE 21 - 30 AÑOS,,3690000,3690000
