ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote
1425455923,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425455923-casa-en-policia-auxiliar-guadalupe-con-3-recamaras-98-m-id-74444-_JM,"$1,350,000",Guadalupe,Policía Auxiliar,98 m²,98 m²,3,3,2,1,Casa,33 años,0 MXN,,,,,,,,,,,,,,,,,
1425469257,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425469257-casa-en-rincon-de-las-huertas-santa-catarina-con-3-recamaras-124-m-id-68712-_JM,"$2,800,000",Santa Catarina,Rincón De Las Huertas,125 m²,124 m²,3,3,3,2,Casa,18 años,500 MXN,,,,,,,,,,,,,,,,,
1425548730,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425548730-casa-en-fuentes-de-juarez-juarez-con-3-recamaras-78-m-id-80023-_JM,"$900,000",Juárez,Fuentes De Juárez,98 m²,78 m²,3,3,1,2,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425568508,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425568508-casa-en-lomas-del-valle-monterrey-con-3-recamaras-375-m-id-65353-_JM,"$16,500,000",Nuevo León,Monterrey,340 m²,375 m²,3,3,4,2,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425456347,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425456347-casa-en-pedregal-de-guadalupe-guadalupe-con-3-recamaras-124-m-id-77265-_JM,"$1,800,000",Guadalupe,Pedregal De Guadalupe,140 m²,124 m²,3,3,1,1,Casa,22 años,0 MXN,,,,,,,,,,,,,,,,,
1426662350,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1426662350-casa-en-villas-de-anahuac-general-escobedo-con-3-recamaras-147-m-id-77178-_JM,"$2,450,000",General Escobedo,Villas De Anáhuac,90 m²,147 m²,3,3,3,2,Casa,17 años,400 MXN,,,,,,,,,,,,,,,,,
1425456273,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425456273-casa-en-ventanas-de-la-huasteca-santa-catarina-con-3-recamaras-256-m-id-68678-_JM,"$6,000,000",Santa Catarina,Ventanas de la Huasteca,150 m²,256 m²,3,3,4,2,Casa,5 años,1000 MXN,,,,,,,,,,,,,,,,,
1425542357,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425542357-casa-en-fuentes-de-juarez-juarez-con-2-recamaras-66-m-id-80025-_JM,"$740,000",Juárez,Fuentes De Juárez,98 m²,66 m²,2,2,1,2,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425568431,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425568431-casa-en-jardin-modelo-monterrey-con-4-recamaras-230-m-id-64998-_JM,"$1,995,000",Monterrey,Jardín Modelo,160 m²,230 m²,4,4,2,1,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425417050,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425417050-casa-en-infonavit-los-angeles-sector-cuatro-san-nicolas-de-los-garza-con-2-recamaras-90-m-id-73805-_JM,"$1,850,000",Nuevo León,San Nicolás De Los Garza,105 m²,90 m²,2,2,1,2,Casa,12 años,1 MXN,,,,,,,,,,,,,,,,,
1425462593,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425462593-casa-en-mision-de-las-villas-santa-catarina-con-3-recamaras-117-m-id-67726-_JM,"$1,950,000",Santa Catarina,Misión De Las Villas,105 m²,117 m²,3,3,2,1,Casa,10 años,300 MXN,,,,,,,,,,,,,,,,,
1425456018,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425456018-casa-en-los-reyes-juarez-con-3-recamaras-112-m-id-75126-_JM,"$1,400,000",Juárez,Los Reyes,208 m²,112 m²,3,3,3,1,Casa,30 años,0 MXN,,,,,,,,,,,,,,,,,
1425574949,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425574949-casa-en-salinas-victoria-monterrey-con-2-recamaras-59-m-id-64633-_JM,"$560,000",Nuevo LeÃ³n,Monterrey,90 mÂ²,59 mÂ²,2,,,1,Casa,,0 MXN,2,1,,12 aÃ±os,,,,,,,,,,,,,
1425417044,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425417044-casa-en-vista-hermosa-monterrey-con-9-recamaras-447-m-id-74024-_JM,"$8,500,000",Monterrey,Vista Hermosa,447 m²,447 m²,9,9,9,,Casa,55 años,0 MXN,,,,,,,,,,,,,,,,,
1425430159,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425430159-casa-en-privadas-del-pedregal-monterrey-con-2-recamaras-70-m-id-67513-_JM,"$500,000",Nuevo LeÃ³n,Monterrey,96 mÂ²,70 mÂ²,2,,,,Casa,,0 MXN,2,1,,7 aÃ±os,,,,,,,,,,,,,
1425456017,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425456017-casa-en-hector-caballero-juarez-con-2-recamaras-90-m-id-75108-_JM,"$700,000",Nuevo León,Juárez,90 m²,90 m²,2,2,1,1,Casa,3 años,0 MXN,,,,,,,,,,,,,,,,,
1425523319,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425523319-casa-en-privadas-del-pedregal-monterrey-con-2-recamaras-90-m-id-73267-_JM,"$600,000",Nuevo LeÃ³n,Monterrey,90 mÂ²,90 mÂ²,2,,,1,Casa,,0 MXN,2,1,,22 aÃ±os,,,,,,,,,,,,,
1425469097,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425469097-casa-en-las-margaritas-monterrey-con-4-recamaras-495-m-id-75896-_JM,"$9,950,000",Monterrey,Las Margaritas,500 m²,495 m²,4,4,4,3,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
