ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Antigüedad,Cantidad de pisos,Orientación,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Bodegas,Tipo de casa,Tipo de propiedad,Departamentos por piso,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1406315085,zacatecas,casa,https://casa.metroscubicos.com/MLM-1406315085-casa-nueva-en-privada-bosque-de-las-cumbres-zacatecas-_JM,"$2,200,000",Zacatecas,Colinas Del Padre,120 m²,144 m²,,3,3,2,,2,,,,,,,,,,,,,,,,
1387350353,zacatecas,casa,https://casa.metroscubicos.com/MLM-1387350353-casa-sola-en-venta-lasalle-_JM,"$2,950,000",Fresnillo,Lasalle,190 m²,295 m²,,4,5,,22 años,,,,,,,,,,,,,,,,,
1388575077,zacatecas,casa,https://casa.metroscubicos.com/MLM-1388575077-casa-en-venta-en-residencial-zacatecas-en-la-carcana-_JM,"$3,700,000",Puebla,Puebla,153 m²,250 m²,,3,4,2,0 años,,,,,,,,,,,,,,,,,
1344752783,zacatecas,casa,https://casa.metroscubicos.com/MLM-1344752783-casa-habitacion-bastante-centrica-cerca-de-agencia-automotriz-comercios-_JM,"$865,000",Guadalupe,Lomas Del Consuelo,60 m²,120 m²,,2,1,1,21 años,,,,,,,,,,,,,,,,,
1391191068,zacatecas,casa,https://casa.metroscubicos.com/MLM-1391191068-casa-sola-en-venta-valle-los-fresnos-_JM,"$1,060,000",Zacatecas,Guadalupe,131 m²,77 m²,,3,2,,1 años,,,,,,,,,,,,,,,,,
1346976278,zacatecas,edificio,https://casa.metroscubicos.com/MLM-1346976278-edificio-de-departamentos-4-plantas-centrico-para-rentar-a-estudiantes-_JM,"$8,000,000",Zacatecas,La Peñuela,382 m²,640 m²,,8,4,1,29 años,,,,,,,,,,,,,,,,,
1391216939,zacatecas,casa,https://casa.metroscubicos.com/MLM-1391216939-casa-sola-en-venta-la-comarca-_JM,"$498,000",Guadalupe,La Martinica,75 m²,43 m²,,2,1,,9 años,,,,,,,,,,,,,,,,,
1391223545,zacatecas,casa,https://casa.metroscubicos.com/MLM-1391223545-casa-sola-en-venta-1910-_JM,"$3,500,000",Zacatecas,Guadalupe,295 m²,227 m²,,4,4,,0 años,,,,,,,,,,,,,,,,,
1391203998,zacatecas,casa,https://casa.metroscubicos.com/MLM-1391203998-casa-sola-en-venta-campo-real-_JM,"$598,000",Zacatecas,Guadalupe,90 m²,41 m²,,1,1,,0 años,,,,,,,,,,,,,,,,,
1391165457,zacatecas,casa,https://casa.metroscubicos.com/MLM-1391165457-casa-sola-en-venta-villas-de-guadalupe-_JM,"$770,000",Guadalupe,Villas De Guadalupe,139 m²,45 m²,,2,1,,5 años,,,,,,,,,,,,,,,,,
