ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Orientación,Antigüedad,Ambientes,Bodegas,Cantidad de pisos,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,Disposición del lote,DisposiciÃ³n del lote
1421743790,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1421743790-departamento-en-venta-en-lomas-de-san-luis-4ta-secc-_JM,"$3,300,000",San Luis Potosí,Prados De San Luis,,162 m²,3,3,2,,,,,,,,,,,,,,,,,,,,,,
1421704989,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1421704989-departamento-en-venta-en-lomas-de-san-luis-3ra-secc-_JM,"$6,900,000",San Luis Potosí,Prados De San Luis,,332 m²,3,4,2,,,,,,,,,,,,,,,,,,,,,,
1412291361,san-luis-potosí,amplio,https://departamento.metroscubicos.com/MLM-1412291361-amplio-depa-con-excelentes-acabados-_JM,"$3,700,000",San Luis Potosí,Miravalle,180 m²,180 m²,3,1,2,,0 años,4,,,,,,,,,,,,,,,,,,,
1401470402,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1401470402-departamento-en-venta-_JM,"$1,575,900",San Luis Potosí,Juan Del Jarro,,90 m²,2,2,1,,0 años,,,5,,,,,,,,,,,,,,,,,
946274000,san-luis-potosí,lomas,https://departamento.metroscubicos.com/MLM-946274000-lomas-3-seccion-_JM,"$2,550,000",San Luis Potosí,Lomas 3a Secc,96 m²,96 m²,1,1,1,Norte,0 años,,,,0 MXN,,,,,,,,,,,,,,,,
1378102512,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1378102512-departamento-en-venta-tangamanga-_JM,"$4,650,000",San Luis Potosí,Tangamanga,,255 m²,3,4,,,0 años,,,,,,,,,,,,,,,,,,,,
1323288548,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1323288548-departamento-en-venta-tangamanga-_JM,"$3,800,000",San Luis Potosí,Tangamanga,,173 m²,3,3,,,0 años,,,,,,,,,,,,,,,,,,,,
1309222345,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1309222345-departamento-en-venta-en-alamitos-san-luis-potosi-san-luis-potosi-_JM,"$1,650,000",San Luis Potosí,Alamitos,,92 m²,3,2,,,1 años,,,,,,,,,,,,,,,,,,,,
936347102,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-936347102-departamento-en-venta-lomas-del-tecnologico-_JM,"$3,000,000",San Luis Potosí,Lomas Del Tecnológico,,142 m²,3,4,,,0 años,,,,,,,,,,,,,,,,,,,,
1390365868,san-luis-potosí,departamentos,https://departamento.metroscubicos.com/MLM-1390365868-departamentos-en-venta-san-luis-potosi-en-garita-de-jalisco-_JM,"$1,990,000",San Luis Potosí,Garita De Jalisco,88 m²,88 m²,2,2,,,,,,,,,,,,,,,,,,,,,,,
1388712573,san-luis-potosí,16448,https://departamento.metroscubicos.com/MLM-1388712573-16448-san-luis-potosi-roma-norte-_JM,"$5,295,000",Cuauhtémoc,Roma Norte,135 m²,135 m²,3,2,1,,,,,,,,,,,,,,,,,,,,,,
1343902111,san-luis-potosí,depa,https://departamento.metroscubicos.com/MLM-1343902111-depa-dentro-de-privada-santa-fe-_JM,"$3,300,000",San Luis Potosí,Colinas Del Parque,180 m²,180 m²,3,2,2,,0 años,6,,,,,,,,,,,,,,,,,,,
745834680,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-745834680-departamento-en-venta-en-privadas-del-pedregal-con-_JM,"$2,800,000",San Luis PotosÃ­,Privadas Del Pedregal,136 mÂ²,136 mÂ²,,,,,,,,1,,3,2,,,,,,,,,,,,,,
1401496335,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1401496335-departamento-en-venta-_JM,"$2,018,800",San Luis Potosí,Juan Del Jarro,,111 m²,3,2,2,,0 años,,,5,,,,,,,,,,,,,,,,,
1309183498,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1309183498-departamento-en-venta-en-tangamanga-san-luis-potosi-san-luis-potosi-_JM,"$2,835,000",San Luis Potosí,Tangamanga,,112 m²,3,2,,,1 años,,,,,,,,,,,,,,,,,,,,
1373972957,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1373972957-departamento-en-venta-santiago-del-rio-_JM,"$1,575,900",San Luis Potosí,Santiago Del Río,,90 m²,2,2,,,0 años,,,,,,,,,,,,,,,,,,,,
1333136737,san-luis-potosí,frente,https://departamento.metroscubicos.com/MLM-1333136737-frente-al-campestre-con-amenidades-_JM,"$2,967,685",San Luis Potosí,Morales,146 m²,146 m²,3,2,1,,0 años,5,,,,,,,,,,,,,,,,,,,
1330786176,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1330786176-departamento-en-venta-los-reyes-_JM,"$1,660,000",San Luis Potosí,Los Reyes,,106 m²,3,2,,,6 años,,,,,,,,,,,,,,,,,,,,
1328572097,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1328572097-departamento-san-luis-potosi-_JM,"$2,200,000",San Luis Potosí,San Luis Potosí,99 m²,,2,2,2,,0 años,,,,0 MXN,,,,,,,,,,,,,,,,
1421801445,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1421801445-departamento-juan-del-jarro-_JM,"$1,769,000",San Luis Potosí,Juan Del Jarro,112 m²,,3,2,2,,0 años,,,,0 MXN,,,,,,,,,,,,,,,,
1421705173,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1421705173-departamento-en-venta-en-jardin-_JM,"$3,190,000",San Luis Potosí,Jardín,,12584 m²,1,1,2,,,,,,,,,,,,,,,,,,,,,,
1401489874,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1401489874-departamento-en-venta-_JM,"$2,336,040",San Luis Potosí,Juan Del Jarro,,111 m²,3,2,2,,0 años,,,5,,,,,,,,,,,,,,,,,
1401476851,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1401476851-departamento-en-venta-_JM,"$1,873,550",San Luis Potosí,Juan Del Jarro,,105 m²,2,2,1,,0 años,,,5,,,,,,,,,,,,,,,,,
1401450823,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1401450823-departamento-en-venta-_JM,"$4,343,970",San Luis Potosí,Lomas Del Tecnológico,,152 m²,2,2,2,,0 años,,,,,,,,,,,,,,,,,,,,
1390411317,san-luis-potosí,departamentos,https://departamento.metroscubicos.com/MLM-1390411317-departamentos-en-venta-desde-1450000-_JM,"$1,450,000",San Luis Potosí,Simón Díaz,69 m²,69 m²,2,2,,,,,,,,,,,,,,,,,,,,,,,
1386900618,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1386900618-departamento-en-venta-piquito-de-oro-_JM,"$570,000",San Luis Potosí,Oro,,56 m²,2,1,,,0 años,,,,,,,,,,,,,,,,,,,,
