ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote,Tipo de casa,NÃºmero de piso de la unidad,Tipo de departamento,Fecha de entrega
1423406148,distrito-federal,bienvenidos,https://departamento.metroscubicos.com/MLM-1423406148-bienvenidos-cfe-infonavit-fovissste-cdmx-_JM,"$1,561,000",Iztacalco,Agrícola Pantitlan,62 m²,4,2,2,1,,0 años,,62 m²,,,,,,,,,,,,,,,,,,,,,
1423634567,distrito-federal,ls,https://departamento.metroscubicos.com/MLM-1423634567-ls-gran-oportunidad-para-invertir-en-tu-patrimonio-departamento-en-remate-no-creditos-ls-_JM,"$921,555",Benito Juárez,Del Valle Sur,110 m²,,3,2,2,,15 años,12 MXN,120 m²,,,,,,,,,,,,,,,,,,,,,
1424878195,distrito-federal,departamento,https://departamento.metroscubicos.com/MLM-1424878195-departamento-en-polanco-_JM,"$9,700,000",Miguel Hidalgo,Polanco,245 m²,,3,3,2,12,47 años,3500 MXN,245 m²,,,,Sur,,,2,8,Frente,,,,,,,,,,,,
1424185058,distrito-federal,rab,https://departamento.metroscubicos.com/MLM-1424185058-rab-hermosa-casa-en-remate-col-anahuac-miguel-hidalgo-rab-_JM,"$1,052,000",Miguel Hidalgo,Anahuac,82 m²,,3,2,1,,8 años,10 MXN,85 m²,,,,,,,,,,,,,,,,,,,,,
1423560721,distrito-federal,ag,https://departamento.metroscubicos.com/MLM-1423560721-ag-excelente-oportunidad-de-adquirir-un-inmueble-de-remate-bancario-_JM,"$1,050,000",Alvaro Obregón,Paseo De Las Lomas,109 m²,,3,2,2,1,10 años,1 MXN,110 m²,,,,Poniente,,,,,Frente,,,,,,,,,,,,
1423419908,distrito-federal,bosques,https://departamento.metroscubicos.com/MLM-1423419908-bosques-de-las-lomas-tabachines-con-vista-verde-impecable-_JM,"$10,100,000",Cuajimalpa De Morelos,Bosques de las Lomas,278 m²,6,3,3,3,,22 años,,278 m²,,,,,,,,,,,,,,,,,,,,,
1424715321,distrito-federal,rab,https://departamento.metroscubicos.com/MLM-1424715321-rab-hermoso-depto-en-remate-col-industrial-vallejo-azcapotzalco-rab-_JM,"$1,075,000",Azcapotzalco,Industrial Vallejo,76 m²,,2,1,1,,10 años,10 MXN,80 m²,,,,,,,,,,,,,,,,,,,,,
1424200548,distrito-federal,vendo,https://departamento.metroscubicos.com/MLM-1424200548-vendo-departamento-en-tlacopac-_JM,"$7,600,000",Alvaro Obregón,Los Alpes,170 m²,,1,2,2,20,10 años,3000 MXN,170 m²,,,,Oriente,,,2,1,Frente,,,,,,,,,,,,
1423721103,distrito-federal,ls,https://departamento.metroscubicos.com/MLM-1423721103-ls-gran-oportunidad-para-invertir-en-tu-patrimonio-departamento-en-remate-no-creditos-ls-_JM,"$730,000",Benito Juárez,Josefa Ortiz De Domínguez,100 m²,,3,2,2,,18 años,12 MXN,120 m²,,,,,,,,,,,,,,,,,,,,,
1423623936,distrito-federal,ls,https://departamento.metroscubicos.com/MLM-1423623936-ls-gran-oportunidad-para-invertir-en-tu-patrimonio-increible-departamento-en-remateno-creditos-ls-_JM,"$1,097,000",Benito Juárez,Alamos,80 m²,,2,2,2,,17 años,12 MXN,90 m²,,,,,,,,,,,,,,,,,,,,,
1423413542,distrito-federal,venta,https://departamento.metroscubicos.com/MLM-1423413542-venta-de-departamento-en-condesa-con-vista-increible-al-cas-_JM,"$9,055,000",Cuauhtémoc,Hipodromo Condesa,184 m²,6,3,2,1,,44 años,,184 m²,,,,,,,,,,,,,,,,,,,,,
1423432196,distrito-federal,venta,https://departamento.metroscubicos.com/MLM-1423432196-venta-moderno-depto-polanco-4-recamaras-_JM,"$16,800,000",Miguel Hidalgo,Polanco,280 m²,8,4,3,2,,43 años,,280 m²,,,,,,,,,,,,,,,,,,,,,
1423658873,distrito-federal,city,https://departamento.metroscubicos.com/MLM-1423658873-city-towers-_JM,"$3,780,000",Benito Juárez,Xoco,69 m²,4,2,2,2,1,0 años,2500 MXN,69 m²,,,,,1,,3,9,Lateral,,,,,,,,,,,,
1423689197,distrito-federal,departamento,https://departamento.metroscubicos.com/MLM-1423689197-departamento-en-venta-en-escandon-remate-mt-_JM,"$1,022,770",Miguel Hidalgo,Escandón II Sección,77 m²,,3,2,2,,8 años,0 MXN,77 m²,,,,Sur,,,,,Frente,,,,,,,,,,,,
1425551616,distrito-federal,departamento,https://departamento.metroscubicos.com/MLM-1425551616-departamento-jorge-negrete-alcaldia-gustavo-a-madero-en-remate-bancario-sdc-_JM,"$355,300",Distrito Federal,Gustavo A. Madero,60 m²,,2,1,1,,16 años,0 MXN,,,,,,,,,,,,,,,,,,,,,,
1425423986,distrito-federal,departamento,https://departamento.metroscubicos.com/MLM-1425423986-departamento-en-santa-fe-alvaro-obregon-con-2-recamaras-129-m-id-36377-_JM,"$6,250,000",Alvaro Obregón,Santa Fe,129 m²,2,2,3,2,,12 años,3830 MXN,129 m²,,,,Oeste,1,,,,,,,,,,,,,,,Loft,
1425462229,distrito-federal,el,https://departamento.metroscubicos.com/MLM-1425462229-el-ph-con-amplitud-lujo-y-amenities-que-mereces-_JM,"$14,999,000",La Magdalena Contreras,Héroes De Padierna,1113 m²,,3,3,3,15,12 años,6000 MXN,325.67 m²,,,,,1,,,,,,,,,,,,,,,,
1424693576,distrito-federal,rab,https://departamento.metroscubicos.com/MLM-1424693576-rab-hermoso-depto-en-remate-col-providencia-azcapotzalco-rab-_JM,"$1,109,000",Azcapotzalco,Providencia,100 m²,,3,2,2,,8 años,8 MXN,105 m²,,,,,,,,,,,,,,,,,,,,,
1424197190,distrito-federal,ls,https://departamento.metroscubicos.com/MLM-1424197190-ls-gran-oportunidad-para-invertir-en-tu-patrimonio-departamento-en-remate-no-creditos-ls-_JM,"$1,190,677",Benito Juárez,Nápoles,91 m²,,3,2,1,,16 años,12 MXN,100 m²,,,,,,,,,,,,,,,,,,,,,
1424113566,distrito-federal,ls,https://departamento.metroscubicos.com/MLM-1424113566-ls-gran-oportunidad-para-invertir-en-tu-patrimonio-departamento-en-remate-no-creditos-ls-_JM,"$1,173,487",Benito Juárez,Narvarte Poniente,90 m²,,3,2,2,,15 años,12 MXN,100 m²,,,,,,,,,,,,,,,,,,,,,
1423658846,distrito-federal,ls,https://departamento.metroscubicos.com/MLM-1423658846-ls-gran-oportunidad-para-invertir-en-tu-patrimonio-increible-casa-en-remate-no-creditos-ls-_JM,"$1,065,000",Benito Juárez,Vértiz Narvarte,180 m²,,3,2,2,,17 años,12 MXN,200 m²,,,,,,,,,,,,,,,,,,,,,
1423652104,distrito-federal,ls,https://departamento.metroscubicos.com/MLM-1423652104-ls-amplio-departamento-en-venta-en-la-alcaldia-benito-juarezno-creditos-ls-_JM,"$635,000",Benito Juárez,Portales,90 m²,,2,2,1,,19 años,12 MXN,100 m²,,,,,,,,,,,,,,,,,,,,,
1423549528,distrito-federal,maxima,https://departamento.metroscubicos.com/MLM-1423549528-maxima-exclusividad-y-elegancia-en-torre-altus-departamento-_JM,"U$S2,900,000",Miguel Hidalgo,Lomas De Chapultepec,660 m²,8,3,4,4,,24 años,,660 m²,,,,,,,,,,,,,,,,,,,,,
1423426400,distrito-federal,bosques,https://departamento.metroscubicos.com/MLM-1423426400-bosques-laureles-servilletero-la-cumbre-townhouse-_JM,"$15,900,000",Miguel Hidalgo,Bosque De Las Lomas,320 m²,7,3,3,4,,24 años,,320 m²,,,,,,,,,,,,,,,,,,,,,
1423387146,distrito-federal,depto,https://departamento.metroscubicos.com/MLM-1423387146-depto-santa-fe-girault-carlos-echanove-con-terraza-_JM,"$16,900,000",Alvaro Obregón,Lomas De Santa Fe,380 m²,9,4,4,3,,17 años,,380 m²,,,,,,,,,,,,,,,,,,,,,
1425449722,distrito-federal,departamento,https://departamento.metroscubicos.com/MLM-1425449722-departamento-en-san-jose-insurgentes-benito-juarez-con-3-recamaras-180-m-id-76304-_JM,"$9,000,000",Benito Juárez,San José Insurgentes,180 m²,3,3,3,2,,8 años,3000 MXN,180 m²,,,,Sur,1,,,,,,,,,,,,,,,Loft,
1425436612,distrito-federal,departamento,https://departamento.metroscubicos.com/MLM-1425436612-departamento-en-santa-fe-cuajimalpa-cuajimalpa-de-morelos-con-3-recamaras-268-m-id-75418-_JM,"$14,750,000",Cuajimalpa De Morelos,Santa Fe Cuajimalpa,268 m²,3,3,3,3,,11 años,7090 MXN,268 m²,,,,Este,1,,,,,,,,,,,,,,,Loft,
1425468472,distrito-federal,departamento,https://departamento.metroscubicos.com/MLM-1425468472-departamento-col-alamos-en-alcaldia-benito-juarez-remate-bancario-sdc-_JM,"$4,251,000",Distrito Federal,Benito Juárez,175 m²,,3,2,2,,1 años,0 MXN,,,,,,,,,,,,,,,,,,,,,,
1424884241,distrito-federal,departamento,https://departamento.metroscubicos.com/MLM-1424884241-departamento-recien-remodelado-de-4-recamaras-3-banos-y-2-_JM,"$4,400,000",Benito Juárez,Narvarte Oriente,166 m²,7,4,3,2,,40 años,,166 m²,,,,,,,,,,,,,,,,,,,,,
1424713970,distrito-federal,ls,https://departamento.metroscubicos.com/MLM-1424713970-ls-gran-oportunidad-para-invertir-en-tu-patrimonio-departamento-en-remate-no-creditos-ls-_JM,"$1,104,803",Benito Juárez,Narvarte Poniente,95 m²,,3,2,1,,16 años,12 MXN,105 m²,,,,,,,,,,,,,,,,,,,,,
1424751130,distrito-federal,iniciamos,https://departamento.metroscubicos.com/MLM-1424751130-iniciamos-exclusiva-pre-venta-en-azcapotzalco-_JM,"$2,802,500",Azcapotzalco,Los Reyes,85 m²,6,3,2,1,,,,85 m²,,,,,,,,,,,,,,,,,,,,,
1424736521,distrito-federal,rab,https://departamento.metroscubicos.com/MLM-1424736521-rab-hermoso-depto-en-remate-col-colinas-del-sur-alvaro-obregon-rab-_JM,"$1,045,000",Alvaro Obregón,Colinas Del Sur,102 m²,,3,2,2,,10 años,10 MXN,105 m²,,,,,,,,,,,,,,,,,,,,,
1424715768,distrito-federal,ls,https://departamento.metroscubicos.com/MLM-1424715768-ls-gran-oportunidad-para-invertir-en-tu-patrimonio-departamento-en-remate-ls-_JM,"$880,315",Benito Juárez,Nonoalco,78 m²,,3,1,1,,16 años,12 MXN,85 m²,,,,,,,,,,,,,,,,,,,,,
1424701236,distrito-federal,departamento,https://departamento.metroscubicos.com/MLM-1424701236-departamento-en-colonia-narvarte-avenida-universidad-_JM,"$8,500,000",Benito Juárez,Narvarte,200 m²,3,3,3,2,1,10 años,0 MXN,200 m²,,,,Norte,,,,,,,,,,,,,,,,,
1424180203,distrito-federal,rab,https://departamento.metroscubicos.com/MLM-1424180203-rab-hermoso-depto-en-remate-col-san-rafael-cuauhtemoc-rab-_JM,"$1,095,821",Cuauhtémoc,San Rafael,82 m²,,2,2,1,,8 años,11 MXN,85 m²,,,,,,,,,,,,,,,,,,,,,
1424173752,distrito-federal,pent,https://departamento.metroscubicos.com/MLM-1424173752-pent-house-en-venta-colonia-actipan-_JM,"$9,825,000",Benito Juárez,Actipan,210 m²,6,3,2,2,,0 años,,210 m²,,,,,,,,,,,,,,,,,,,,,
1424197674,distrito-federal,ls,https://departamento.metroscubicos.com/MLM-1424197674-ls-gran-oportunidad-para-invertir-en-tu-patrimonio-departamento-en-remate-no-creditos-ls-_JM,"$1,088,900",Benito Juárez,Del Valle Centro,96 m²,,3,2,2,,16 años,12 MXN,106 m²,,,,,,,,,,,,,,,,,,,,,
1424197166,distrito-federal,rab,https://departamento.metroscubicos.com/MLM-1424197166-rab-hermoso-depto-en-remate-col-polanco-miguel-hidalgo-rab-_JM,"$1,099,000",Miguel Hidalgo,Polanco,130 m²,,3,2,2,,10 años,11 MXN,135 m²,,,,,,,,,,,,,,,,,,,,,
1423727429,distrito-federal,ls,https://departamento.metroscubicos.com/MLM-1423727429-ls-gran-oportunidad-para-invertir-en-tu-patrimonio-increible-departamento-en-remate-no-creditos-ls-_JM,"$786,300",Benito Juárez,Del Valle Centro,120 m²,,3,3,2,,16 años,12 MXN,150 m²,,,,,,,,,,,,,,,,,,,,,
1423523733,distrito-federal,maxima,https://departamento.metroscubicos.com/MLM-1423523733-maxima-exclusividad-y-elegancia-en-torre-altus-departamento-_JM,"U$S2,900,000",Cuajimalpa De Morelos,Lomas De Vista Hermosa,660 m²,8,3,4,4,,19 años,,660 m²,,,,,,,,,,,,,,,,,,,,,
1423510833,distrito-federal,maxima,https://departamento.metroscubicos.com/MLM-1423510833-maxima-exclusividad-y-elegancia-en-torre-altus-departamento-_JM,"U$S2,900,000",Cuajimalpa De Morelos,Santa Fe Cuajimalpa,660 m²,8,3,4,4,,19 años,,660 m²,,,,,,,,,,,,,,,,,,,,,
1423535287,distrito-federal,ag,https://departamento.metroscubicos.com/MLM-1423535287-ag-excelente-oportunidad-de-adquirir-un-inmueble-de-remate-bancario-_JM,"$902,000",Alvaro Obregón,San Pedro De Los Pinos,84 m²,,2,2,2,1,9 años,1 MXN,85 m²,,,,,,,,,,,,,,,,,,,,,
