tipo,precio,predPrices,m2Terreno,m2Construccion,estacionamientos,Banos,antiguedad,colonia,municipio_x,entidad,codigo_postal,latitud,longitud
departamentos,3868000.0,3710000.0,84.0,84.0,1.0,2.0,0.0,Playas De Tijuana,Tijuana,Baja California,,,
departamentos,3940000.0,3660000.0,100.0,100.0,1.0,2.0,0.0,La Ventana,La Paz,Baja California,,,
departamentos,7251240.0,6240000.0,142.0,142.0,2.0,3.0,1.0,Calete,Tijuana,Baja California,22044.0,32.516529083252,-117.0164794921875
departamentos,6900480.0,6580000.0,117.0,117.0,0.0,2.0,0.0,El Tezal,Los Cabos,Baja California,,,
departamentos,3249620.0,3740000.0,74.0,74.0,1.0,1.0,1.0,Calete,Tijuana,Baja California,22044.0,32.516529083252,-117.0164794921875
departamentos,4665500.0,4059999.9999999995,105.0,105.0,2.0,2.0,1.0,Calete,Tijuana,Baja California,22044.0,32.516529083252,-117.0164794921875
departamentos,9752600.0,5940000.0,187.0,187.0,0.0,3.0,0.0,El Tezal,Los Cabos,Baja California,,,
departamentos,8550740.0,6580000.0,117.0,117.0,0.0,2.0,0.0,El Tezal,Los Cabos,Baja California,,,
departamentos,12349600.0,14040000.0,225.0,225.0,0.0,3.0,0.0,El Tezal,Los Cabos,Baja California,,,
departamentos,4038256.0,4360000.0,79.0,79.0,2.0,2.0,0.0,Río Tijuana 3a Etapa,Tijuana,Baja California,22226.0,32.4681701660156,-116.9208679199219
departamentos,4094740.0,4720000.0,149.0,149.0,2.0,2.0,2.0,Chapultepec,Tijuana,Baja California,21723.0,32.3428611755371,-115.0167083740234
departamentos,4094740.0,4720000.0,149.0,149.0,2.0,2.0,2.0,Chapultepec,Tijuana,Baja California,22020.0,32.5071754455566,-117.0099029541016
departamentos,4094740.0,4720000.0,149.0,149.0,2.0,2.0,2.0,Chapultepec,Tijuana,Baja California,22785.0,31.8119716644287,-116.5989532470703
departamentos,4094740.0,4720000.0,149.0,149.0,2.0,2.0,2.0,Chapultepec,Tijuana,Baja California,22870.0,31.8623447418213,-116.6555404663086
departamentos,2650000.0,3910000.0,99.0,99.0,1.0,2.0,0.0,Lomas Del Cabo,Los Cabos,Baja California,,,
departamentos,6000000.0,4019999.9999999995,140.0,140.0,2.0,1.0,15.0,Zona Urbana Río Tijuana,Tijuana,Baja California,22010.0,32.5417251586914,-117.0317306518555
departamentos,3520000.0,3710000.0,164.0,164.0,2.0,2.0,0.0,Tijuana Centro,Tijuana,Baja California,,,
departamentos,2300000.0,2450000.0,85.0,85.0,1.0,2.0,0.0,Colonia Tierra y Libertad,Los Cabos,Baja California,,,
departamentos,2800000.0,4150000.0000000005,84.0,84.0,2.0,1.0,0.0,Playas de Tijuana Sección Costa Hermosa,Tijuana,Baja California,22506.0,32.5101661682129,-117.1166229248047
departamentos,3800000.0,2480000.0,56.0,56.0,1.0,1.0,0.0,Zona Urbana Río Tijuana,Tijuana,Baja California,22010.0,32.5417251586914,-117.0317306518555
departamentos,1550000.0,2560000.0,69.0,69.0,1.0,1.0,0.0,Brisas Del Pacífico,Los Cabos,Baja California,,,
departamentos,2090000.0,2520000.0,69.0,69.0,2.0,2.0,0.0,Colinas de la Presa,Tijuana,Baja California,22125.0,32.4481811523438,-116.9259796142578
departamentos,6200000.0,3660000.0,100.0,100.0,1.0,2.0,0.0,Rosarito,Playas De Rosarito,Baja California,22955.0,30.5211124420166,-115.3015747070313
departamentos,6200000.0,3660000.0,100.0,100.0,1.0,2.0,0.0,Rosarito,Playas De Rosarito,Baja California,22706.0,32.3805351257324,-117.0514984130859
departamentos,3680000.0,4179999.9999999995,80.0,80.0,1.0,1.0,0.0,Rosarito,Playas De Rosarito,Baja California,22955.0,30.5211124420166,-115.3015747070313
departamentos,3680000.0,4179999.9999999995,80.0,80.0,1.0,1.0,0.0,Rosarito,Playas De Rosarito,Baja California,22706.0,32.3805351257324,-117.0514984130859
departamentos,8080000.0,7000000.0,152.0,152.0,2.0,2.0,0.0,Rosarito,Playas De Rosarito,Baja California,22955.0,30.5211124420166,-115.3015747070313
departamentos,8080000.0,7000000.0,152.0,152.0,2.0,2.0,0.0,Rosarito,Playas De Rosarito,Baja California,22706.0,32.3805351257324,-117.0514984130859
departamentos,2360000.0,3810000.0,90.0,90.0,0.0,2.0,0.0,Colonia Tierra y Libertad,Los Cabos,Baja California,,,
departamentos,6903000.0,4240000.0,110.0,110.0,0.0,1.0,0.0,Zona Urbana Río Tijuana,Tijuana,Baja California,22010.0,32.5417251586914,-117.0317306518555
departamentos,7000000.0,4610000.0,125.0,125.0,2.0,2.0,0.0,Zona Urbana Río Tijuana,Tijuana,Baja California,22010.0,32.5417251586914,-117.0317306518555
departamentos,2580000.0,2260000.0,58.0,58.0,1.0,2.0,0.0,Los Cangrejos,Los Cabos,Baja California,,,
departamentos,4800000.0,8050000.000000001,300.0,300.0,4.0,4.0,20.0,Independencia,Ensenada,Baja California,21290.0,32.632007598877,-115.4294738769531
departamentos,4800000.0,8050000.000000001,300.0,300.0,4.0,4.0,20.0,Independencia,Ensenada,Baja California,21740.0,32.1430206298828,-115.2275848388672
departamentos,4800000.0,8050000.000000001,300.0,300.0,4.0,4.0,20.0,Independencia,Ensenada,Baja California,22055.0,32.5182456970215,-117.0503234863281
departamentos,4800000.0,8050000.000000001,300.0,300.0,4.0,4.0,20.0,Independencia,Ensenada,Baja California,22840.0,31.8644790649414,-116.6012268066406
departamentos,4800000.0,8050000.000000001,300.0,300.0,4.0,4.0,20.0,Independencia,Ensenada,Baja California,22705.0,32.3893928527832,-117.057975769043
departamentos,1450000.0,1990000.0,74.0,74.0,1.0,2.0,0.0,Ignacio Zaragoza,Tijuana,Baja California Sur,,,
departamentos,12919100.0,11630000.0,205.0,205.0,0.0,3.0,1.0,Madero Sur,Tijuana,Baja California Sur,,,
departamentos,7653300.0,5310000.0,129.0,129.0,0.0,3.0,1.0,Madero Sur,Tijuana,Baja California Sur,,,
departamentos,4480000.0,5650000.0,142.0,142.0,0.0,2.0,0.0,El Tezal,Los Cabos,Baja California Sur,23454.0,23.4862308502197,-109.6147766113281
departamentos,3899980.0,3020000.0,83.0,83.0,0.0,1.0,0.0,Cumbres Del Tezal,Los Cabos,Baja California Sur,,,
departamentos,4499980.0,3930000.0,127.0,127.0,0.0,1.0,0.0,Cumbres Del Tezal,Los Cabos,Baja California Sur,,,
departamentos,3508000.0,3150000.0,100.0,100.0,0.0,2.0,0.0,El Tezal,Los Cabos,Baja California Sur,23454.0,23.4862308502197,-109.6147766113281
departamentos,3659980.0,3020000.0,83.0,83.0,0.0,1.0,0.0,El Tezal,Los Cabos,Baja California Sur,23454.0,23.4862308502197,-109.6147766113281
departamentos,9778800.0,7290000.0,173.0,173.0,0.0,3.0,0.0,Cabo San Lucas Centro,Los Cabos,Baja California Sur,23450.0,22.8809547424316,-109.9123306274414
departamentos,8319960.0,5820000.0,135.0,135.0,0.0,2.0,0.0,Cabo San Lucas Centro,Los Cabos,Baja California Sur,23450.0,22.8809547424316,-109.9123306274414
departamentos,37740000.0,17530000.0,218.0,218.0,0.0,3.0,0.0,Cabo San Lucas Centro,Los Cabos,Baja California Sur,23450.0,22.8809547424316,-109.9123306274414
departamentos,33300000.0,13120000.0,260.0,260.0,0.0,4.0,0.0,Cabo San Lucas Centro,Los Cabos,Baja California Sur,23450.0,22.8809547424316,-109.9123306274414
departamentos,27500000.0,13260000.0,294.0,294.0,0.0,3.0,0.0,Cabo San Lucas Centro,Los Cabos,Baja California Sur,23450.0,22.8809547424316,-109.9123306274414
departamentos,3940000.0,2630000.0,100.0,100.0,1.0,2.0,0.0,La Ventana,La Paz,Baja California Sur,23232.0,24.0802783966064,-109.9940032958984
departamentos,6900480.0,4980000.0,117.0,117.0,0.0,2.0,0.0,El Tezal,Los Cabos,Baja California Sur,23454.0,23.4862308502197,-109.6147766113281
departamentos,9752600.0,4650000.0,187.0,187.0,0.0,3.0,0.0,El Tezal,Los Cabos,Baja California Sur,23454.0,23.4862308502197,-109.6147766113281
departamentos,8550740.0,4980000.0,117.0,117.0,0.0,2.0,0.0,El Tezal,Los Cabos,Baja California Sur,23454.0,23.4862308502197,-109.6147766113281
departamentos,12349600.0,12160000.0,225.0,225.0,0.0,3.0,0.0,El Tezal,Los Cabos,Baja California Sur,23454.0,23.4862308502197,-109.6147766113281
departamentos,2650000.0,2870000.0,99.0,99.0,1.0,2.0,0.0,Lomas Del Cabo,Los Cabos,Baja California Sur,,,
departamentos,2300000.0,1340000.0,85.0,85.0,1.0,2.0,0.0,Colonia Tierra y Libertad,Los Cabos,Baja California Sur,,,
departamentos,1550000.0,1460000.0,69.0,69.0,1.0,1.0,0.0,Brisas Del Pacífico,Los Cabos,Baja California Sur,,,
departamentos,2360000.0,2760000.0,90.0,90.0,0.0,2.0,0.0,Colonia Tierra y Libertad,Los Cabos,Baja California Sur,,,
departamentos,2580000.0,1250000.0,58.0,58.0,1.0,2.0,0.0,Los Cangrejos,Los Cabos,Baja California Sur,23473.0,22.9055728912354,-109.9506988525391
departamentos,3150000.0,5000000.0,154.0,154.0,2.0,4.0,6.0,Los Eucaliptos,San Cristóbal De Las Casas,Coahuila de Zaragoza,,,
departamentos,545000.0,480000.0,51.0,51.0,1.0,1.0,0.0,Teran,Tuxtla Gutiérrez,Coahuila de Zaragoza,,,
departamentos,498000.0,480000.0,51.0,51.0,1.0,1.0,0.0,Colonia Tierra Negra,Tuxtla Gutiérrez,Coahuila de Zaragoza,,,
departamentos,498000.0,660000.0,51.0,51.0,0.0,1.0,0.0,Loma Bonita,Tuxtla Gutiérrez,Coahuila de Zaragoza,25023.0,25.4021530151367,-100.969841003418
