ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote,Tipo de casa,NÃºmero de piso de la unidad
1425817075,chihuahua,venta,https://casa.metroscubicos.com/MLM-1425817075-venta-casa-arboledas-_JM,"$1,800,000",Chihuahua,Arboledas I,150 m²,6,4,2,3,,0 años,,213 m²,,,,,,,,,,,,,,,,,,,
1425464542,chihuahua,casa,https://casa.metroscubicos.com/MLM-1425464542-casa-en-venta-delicias-frac-las-huertas-_JM,"$2,800,000",Delicias,Las Huertas,423 m²,,3,2,2,2,15 años,,234 m²,,,,,1,Casa sola,,,,,,,,,,,,Casa,
1422702658,chihuahua,casa,https://casa.metroscubicos.com/MLM-1422702658-casa-en-venta-en-parques-de-san-felipe-_JM,"$8,500,000",Chihuahua,Parques De San Felipe,805 m²,,4,4,,,19 años,0 MXN,307.94 m²,,,,Norte,,,,,,,,,,,,,,,
1425775121,chihuahua,oportunidad,https://casa.metroscubicos.com/MLM-1425775121-oportunidad-casa-en-venta-en-diamante-reliz-lilmdz-_JM,"$3,300,000",Chihuahua,Diamante Reliz,200 m²,6,3,2,2,,0 años,,207 m²,,,,,,,,,,,,,,,,,,,
1425430848,chihuahua,casa,https://casa.metroscubicos.com/MLM-1425430848-casa-en-venta-sector-av-hermanos-escobar-_JM,"U$S170,000",Chihuahua,Juárez,218 m²,,3,2,,2,,,311 m²,,,,,,,,,,,,,,,,,,,
1425425875,chihuahua,casa,https://casa.metroscubicos.com/MLM-1425425875-casa-en-venta-camargo-col-centro-_JM,"$1,430,000",Camargo,Ciudad Camargo Centro,350 m²,,3,2,3,3,45 años,,185 m²,,,,,1,Casa sola,,,,,,,,,,,,Casa,
1425464518,chihuahua,casa,https://casa.metroscubicos.com/MLM-1425464518-casa-en-venta-camargo-colonia-fco-i-madero-_JM,"$1,040,000",Camargo,Francisco I Madero,200 m²,,3,2,2,2,12 años,,184 m²,,,,,1,Casa sola,,,,,,,,,,,,Casa,
1426418412,chihuahua,casa,https://casa.metroscubicos.com/MLM-1426418412-casa-en-venta-cerca-de-la-rio-de-janeiro-en-los-frailes-_JM,,,Inmuebles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425423907,chihuahua,casa,https://casa.metroscubicos.com/MLM-1425423907-casa-en-venta-san-felipe-viejo-chihuahua-chihuahua-_JM,"$2,320,000",Chihuahua,San Felipe Viejo,225 m²,,3,2,3,,20 años,,319 m²,,,,,,,,,,,,,,,,,,,
1423652066,chihuahua,se,https://casa.metroscubicos.com/MLM-1423652066-se-vende-casa-en-diamente-reliz-_JM,"$3,882,000",Chihuahua,Diamante Reliz,234.13 m²,4,4,3,,2,10 años,0 MXN,225.99 m²,,,,Norte,,,,,,,,,,,,,,,
1425477580,chihuahua,casa,https://casa.metroscubicos.com/MLM-1425477580-casa-en-venta-delicias-frac-las-huertas-_JM,"$2,330,000",Delicias,Las Huertas,205 m²,,4,3,2,2,18 años,,216 m²,,,,,1,Casa sola,,,,,,,,,,,,Casa,
1423425033,chihuahua,casa,https://casa.metroscubicos.com/MLM-1423425033-casa-en-venta-en-mision-del-bosque-_JM,"$5,250,000",Chihuahua,MisiÃ³n Del Bosque,266.63 mÂ²,4,,,4,2,,0 MXN,284.93 mÂ²,4,4,5 aÃ±os,,,,,,,,,,,,Norte,,,,
1423691274,chihuahua,casa,https://casa.metroscubicos.com/MLM-1423691274-casa-en-venta-en-panamericana-_JM,"$3,600,000",Chihuahua,Panamericana,280 m²,,3,3,3,2,20 años,0 MXN,,,,,,,,,,,,,,,,,,,,
1425471070,chihuahua,casa,https://casa.metroscubicos.com/MLM-1425471070-casa-en-venta-camargo-colonia-la-pila-_JM,"$1,495,000,000",Camargo,Alsalcia Y Lorena,200 m²,,3,2,2,2,2 años,,207 m²,,,,,1,Casa sola,,,,,,,,,,,,Casa,
1425432145,chihuahua,casa,https://casa.metroscubicos.com/MLM-1425432145-casa-en-venta-camargo-colonia-santa-rosalia-_JM,"$1,050,000",Camargo,Santa Rosalía,126 m²,,3,1,1,2,16 años,,136 m²,,,,,1,Casa sola,,,,,,,,,,,,Casa,
1425449536,chihuahua,remate,https://casa.metroscubicos.com/MLM-1425449536-remate-casa-en-barreal-cd-juarez-_JM,"$976,096",Juárez,Barreal,220 m²,,3,2,,2,20 años,0 MXN,,,,,,,,,,,,,,,,,,,,
