ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,OrientaciÃ³n,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote
1403085015,aguascalientes,hurban,https://terreno.metroscubicos.com/MLM-1403085015-hurban-vende-terreno-por-la-colonia-macario-j-gomez-a-5-mi-_JM,"$10,000,000",San Francisco De Los Romo,Macario J GÃ³mez,39802 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1419651137,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1419651137-terreno-en-venta-la-loma-de-los-negritos-_JM,"$11,777,250",Aguascalientes,Los Negritos,15703 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,
1419562946,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1419562946-terreno-en-venta-los-negritos-_JM,"$35,831,064",Aguascalientes,Los Negritos,29859 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,
945120257,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-945120257-terreno-en-venta-bosque-sereno-couvet-_JM,"$1,000,000",Aguascalientes,Fraccionamiento Residencial del Valle II,154 m²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1321290693,aguascalientes,venta,https://terreno.metroscubicos.com/MLM-1321290693-venta-de-terreno-a-un-costado-del-club-campestre-sn-carlos-_JM,"$1,500,000",PabellÃ³n De Arteaga,Campestre San Carlos,3000 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,50 m,60 m,Regular,
1308885806,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1308885806-terreno-en-excelente-ubicacion-_JM,"$1,750,000",Aguascalientes,CircunvalaciÃ³n Poniente,270 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
938547423,aguascalientes,venta,https://terreno.metroscubicos.com/MLM-938547423-venta-de-terreno-semi-urbano-colonia-vista-hermosa-_JM,"$400,000",Aguascalientes,El Colorado,500 m²,,,,,,,,,,,,,,,,,,,,,Tierra,20 m,25 m,Plano,
1358672065,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1358672065-terreno-en-venta-norias-del-ojocaliente-_JM,"$349,000",Aguascalientes,Norias Del Ojocaliente,500 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,
954236832,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-954236832-terreno-comercial-en-venta-carmel-residencial-_JM,"$1,425,000",Aguascalientes,Aguascalientes,228 m²,,,,,,,,,,,,,,,,,,,,,-,,,,
1319534171,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1319534171-terreno-en-venta-en-jose-ma-chavez-_JM,"$16,980,000",Aguascalientes,Zona Centro,2757 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1358672063,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1358672063-terreno-en-venta-vista-alegre-_JM,"$1,950,000",Aguascalientes,Vista Alegre,703 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,
1401291138,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1401291138-terreno-en-venta-en-bosque-sereno-_JM,"$1,579,500",Aguascalientes,Aguascalientes,243 mÂ²,,,,,,,,,,400 MXN,,,,,,,,,,,Otro,,,,
1394036062,aguascalientes,casi,https://terreno.metroscubicos.com/MLM-1394036062-casi-un-paraiso-al-lado-de-un-arroyo-_JM,"$1,300,000",Aguascalientes,El Salitre,30150.7 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
951519630,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-951519630-terreno-en-venta-al-norte-cerca-de-privada-los-olivos-_JM,"$5,115,000",Aguascalientes,Residencial Campestre Club De Golf Sur,930 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,
1398827946,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1398827946-terreno-comercial-en-venta-villas-de-notre-dame-_JM,"$1,350,000",Aguascalientes,Campestre Estrella,423 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,
1319632322,aguascalientes,terrenos,https://terreno.metroscubicos.com/MLM-1319632322-terrenos-en-venta-al-norte-de-la-ciudad-_JM,"$726,960",Jesús Maria,Jesús María,104 m²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
947881857,aguascalientes,excelente,https://terreno.metroscubicos.com/MLM-947881857-excelente-terreno-comercial-sobre-tercer-anillo-_JM,"$4,950,000",Aguascalientes,Pintores Mexicanos,750 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1393117829,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1393117829-terreno-en-venta-ideal-para-inversionistas-_JM,"$7,500,000",Aguascalientes,Centro,1308.78 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1362173950,aguascalientes,excelente,https://terreno.metroscubicos.com/MLM-1362173950-excelente-terreno-comercial-yo-habitacional-en-venta-_JM,"$14,102,000",Aguascalientes,San Ignacio,6409.72 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1351521863,aguascalientes,venta,https://terreno.metroscubicos.com/MLM-1351521863-venta-de-extraordinario-terreno-en-residencial-las-plazas-_JM,"$1,100,000",Aguascalientes,Residencial Las Plazas,162 m²,,,,,,,,,,,,,,,,,,,,,Asfalto,9 m,18 m,Plano,
1339884893,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1339884893-terreno-en-venta-rancho-santa-monica-_JM,"$1,920,000",Aguascalientes,Rancho Santa MÃ³nica,364 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,
1393872636,aguascalientes,excelente,https://terreno.metroscubicos.com/MLM-1393872636-excelente-terreno-como-inversion-a-mediano-plazo-_JM,"$1,426,000",Aguascalientes,JosÃ© Guadalupe Peralta GÃ¡mez,1097 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1326133620,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1326133620-terreno-en-renta-a-un-costado-de-nissan-a2-_JM,"$33,750,000",Aguascalientes,PeÃ±uelas (El Cienegal),12500 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,
1403078777,aguascalientes,hurban,https://terreno.metroscubicos.com/MLM-1403078777-hurban-vende-terreno-habitacional-en-coto-al-norte-de-de-la-_JM,"$2,241,892",Aguascalientes,San Ignacio,329 m²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1403123936,aguascalientes,hurban,https://terreno.metroscubicos.com/MLM-1403123936-hurban-vende-terreno-industrial-en-esquina-_JM,"$5,000",Aguascalientes,Hacienda Nueva,1085 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
