ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,OrientaciÃ³n,Disposición,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,DisposiciÃ³n,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Acceso,Disposición del lote
1376796817,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1376796817-departamento-en-venta-la-tampiquera-_JM,"$2,800,000",Boca Del Río,La Tampiquera,,41 m²,,2,3,,,,,1 años,,,,,,,,,,,,,,,,,,
1368919907,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1368919907-departamento-en-venta-isla-del-amor-_JM,"$2,700,000",Alvarado,Isla Del Amor,,91 mÂ²,,,,,,,,,,2,2,0 aÃ±os,,,,,,,,,,,,,,
1368717823,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1368717823-departamento-en-venta-playa-hermosa-_JM,"$3,100,000",Boca Del Río,Playa Hermosa,,160 m²,,3,2,,,,,4 años,,,,,,,,,,,,,,,,,,
1365073899,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1365073899-departamento-en-venta-playas-del-conchal-_JM,"$2,200,000",Alvarado,Playas del Conchal,,81 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1362492540,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1362492540-departamento-en-venta-playas-del-conchal-_JM,"$3,250,000",Alvarado,Playas del Conchal,,80 mÂ²,,,,,,,,,,2,2,0 aÃ±os,,,,,,,,,,,,,,
1362130864,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1362130864-departamento-en-venta-col-centro-coatzacoalcos-ver-_JM,"$1,550,000",Coatzacoalcos,Coatzacoalcos Centro,78 m²,78 m²,,2,2,1,,,,0 años,,,,,,,,,,,,,,,,,,
1357254406,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1357254406-departamento-en-venta-playas-del-conchal-_JM,"$2,990,000",Alvarado,Playas del Conchal,,80 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1348595616,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1348595616-departamento-en-venta-tejeria-_JM,"$490,000",Veracruz,Tejería,,62 m²,,2,1,,,,,1 años,,,,,,,,,,,,,,,,,,
1339646091,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1339646091-departamento-en-venta-playas-del-conchal-_JM,"$3,936,000",Alvarado,Playas del Conchal,,150 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1336683954,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1336683954-departamento-en-venta-virginia-_JM,"$1,700,000",Boca Del Río,Virginia,,98 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1333992928,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1333992928-departamento-en-venta-lomas-del-mar-_JM,"$2,250,000",Boca Del Río,Lomas Del Mar,,143 m²,,3,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1326879998,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1326879998-departamento-en-venta-reforma-_JM,"$2,100,000",Veracruz,Reforma,,112 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1325858709,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1325858709-departamento-ricardo-flores-magon-_JM,"$2,490,000",Veracruz,Veracruz,131 m²,,,3,2,1,,1,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1317526641,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1317526641-departamento-en-venta-virginia-_JM,"$1,790,000",Boca Del Río,Virginia,,67 m²,,2,1,,,,,0 años,,,,,,,,,,,,,,,,,,
1307274133,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1307274133-departamento-en-venta-fracc-playas-del-conchal-_JM,"$8,000,000",Alvarado,Playas del Conchal,,160 m²,,3,4,,,,,7 años,,,,,,,,,,,,,,,,,,
1307190292,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1307190292-departamento-en-venta-los-delfines-_JM,"$2,550,000",Boca Del Río,Los Delfines,,190 m²,,3,3,,,,,9 años,,,,,,,,,,,,,,,,,,
1306124168,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1306124168-departamento-en-venta-la-tampiquera-_JM,"$2,200,000",Boca Del Río,La Tampiquera,,110 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1306069006,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1306069006-departamento-en-venta-luis-echeverria-alvarez-_JM,"$3,122,000",Boca Del Río,Luis Echeverría Alvarez,,95 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1306124153,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1306124153-departamento-en-venta-la-tampiquera-_JM,"$3,000,000",Boca Del Río,La Tampiquera,,150 m²,,3,4,,,,,0 años,,,,,,,,,,,,,,,,,,
1306094396,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1306094396-departamento-en-venta-playa-hermosa-_JM,"$3,728,000",Boca Del Río,Playa Hermosa,,105 m²,,2,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1306068905,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1306068905-departamento-en-venta-boca-del-rio-centro-_JM,"$4,650,000",Boca Del Río,Boca Del Río Centro,,139 m²,,2,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1306075178,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1306075178-departamento-en-venta-la-tampiquera-_JM,"$2,400,000",Boca Del Río,La Tampiquera,,125 m²,,3,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1306068754,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1306068754-departamento-en-venta-los-delfines-_JM,"$3,350,000",Boca Del Río,Los Delfines,,170 m²,,3,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1301656742,veracruz,departamento,https://departamento.metroscubicos.com/MLM-1301656742-departamento-en-planta-baja-en-venta-colonia-granjas-la-boti-_JM,"$700,000",Veracruz,Granjas De La Boticaria,117 m²,117 m²,4,2,2,1,,,,0 años,,,,,,,,,,,,,,,,,,
