ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote
946946344,chiapas,casa,https://terreno.metroscubicos.com/MLM-946946344-casa-en-venta-en-19-sur-ote-145-centro-_JM,"$3,950,000",Tuxtla GutiÃ©rrez,San Francisco,391 mÂ²,,,,,,,,,,,,,,,,,,Asfalto,12.5 m,31.3 m,,Plano,,,
1332842280,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1332842280-terreno-en-guadalupe-country-tuxtla-gutierrez-_JM,"$2,495,000",Tuxtla GutiÃ©rrez,Granjas Club Campestre,2500 mÂ²,,,,,,,,,,,,,,,,,,Otro,50 m,50 m,Interno,Plano,,,
1328178139,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1328178139-terreno-2250-m2-a-espaldas-de-villa-blanca-tuxtla-gutierrez-_JM,"$12,375,000",Tuxtla GutiÃ©rrez,Campanario,2250 mÂ²,,,,,,,,,,,,,,,,,,Otro,112.5 m,20 m,Otro,Plano,,,
947039555,chiapas,terreno,https://terreno.metroscubicos.com/MLM-947039555-terreno-en-venta-en-ribera-las-flechas-280882-mts2-_JM,"$2,900,000",Chiapa De Corzo,Ribera Las Flechas,2880 m²,,,,,,,,,,,,,,,,,,Tierra,,,,Plano,,,
1414807970,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1414807970-terreno-en-venta-en-fracc-privado-san-carlos-sur-oriente-_JM,"$1,630,000",Tuxtla GutiÃ©rrez,Fracc. Joyas De Oriente,290 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1385357614,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1385357614-terreno-de-4-hectareas-salida-de-la-ciudad-a-2-km-de-la-pochota-_JM,"$40,000,000",Tuxtla Gutiérrez,Plan De Ayala,4 ha,,,,,,,,,,,,,,,,,,Asfalto,,,,Irregular,,,Perimetral
949478684,chiapas,terreno,https://terreno.metroscubicos.com/MLM-949478684-terreno-en-venta-en-lomas-del-mactumatza-_JM,"$1,015,000",Tuxtla GutiÃ©rrez,Matumatza,350 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1384280805,chiapas,se,https://terreno.metroscubicos.com/MLM-1384280805-se-vende-terreno-en-esquina-1000-m2-berriozabal-chiapas-_JM,"$2,200,000",Berriozabal,Berriozabal,1000 mÂ²,,,,,,,,,,,,,,,,,,Tierra,35 m,29 m,,Regular,,,
1342601687,chiapas,venta,https://terreno.metroscubicos.com/MLM-1342601687-venta-de-terreno-en-club-campestre-_JM,"$2,326,500",Chiapas,Tuxtla GutiÃ©rrez,302 mÂ²,,,,,,,,,,,,,,,,,,Ripio,,,,,,,
1330831434,chiapas,venta,https://terreno.metroscubicos.com/MLM-1330831434-venta-terreno-parque-chiapas-l-de-angelopolis-puebla-ter2616-pccg-_JM,"$1,405,451",Puebla,Angelopolis,206 mÂ²,,,,,,,,,,,,,,,,,,Asfalto,,,,Plano,,,
