ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote,Tipo de casa,NÃºmero de piso de la unidad
1422733819,coahuila,casa,https://casa.metroscubicos.com/MLM-1422733819-casa-en-venta-en-torreon-centro-_JM,"$6,500,000",Torreón,Torreón Centro,573 m²,,4,3,4,,,,458 m²,,,,,,,,,,,,,,,,,,,
1422751866,coahuila,casa,https://casa.metroscubicos.com/MLM-1422751866-casa-en-venta-en-montebello-_JM,"$21,000,000",Torreón,Montebello,801 m²,,3,3,2,,,,775 m²,,,,,,,,,,,,,,,,,,,
1422691282,coahuila,casa,https://casa.metroscubicos.com/MLM-1422691282-casa-en-venta-en-fracc-los-vinedos-_JM,"$3,300,000",Torreón,Los Viñedos,200 m²,,3,3,2,,,,265 m²,,,,,,,,,,,,,,,,,,,
1422720957,coahuila,casa,https://casa.metroscubicos.com/MLM-1422720957-casa-en-venta-en-villa-de-las-palmas-_JM,"$2,450,000",Torreón,Cerrada Las Palmas II,190 m²,,3,3,2,,,,240 m²,,,,,,,,,,,,,,,,,,,
1422691216,coahuila,casa,https://casa.metroscubicos.com/MLM-1422691216-casa-en-venta-en-fracc-quinta-tamarindos-_JM,"$4,500,000",Torreón,Fraccionamiento Quintas Anna,340 m²,,4,4,2,,,,330 m²,,,,,,,,,,,,,,,,,,,
1422751563,coahuila,casa,https://casa.metroscubicos.com/MLM-1422751563-casa-en-venta-en-villa-de-llas-palma-_JM,"$3,100,000",Torreón,Cerrada Las Palmas II,220 m²,,3,3,2,,,,270 m²,,,,,,,,,,,,,,,,,,,
1422739967,coahuila,casa,https://casa.metroscubicos.com/MLM-1422739967-casa-en-venta-en-los-vinedos-_JM,"$2,523,500",Torreón,Los Viñedos,208 m²,,3,3,2,,,,219 m²,,,,,,,,,,,,,,,,,,,
1423657580,coahuila,casa,https://casa.metroscubicos.com/MLM-1423657580-casa-en-condominio-fraccionamiento-los-portales-_JM,"$1,376,500",Coahuila,Ramos Arizpe,120 mÂ²,,,,2,,,0 MXN,,3,2,8 aÃ±os,,,,,,,,,,,,,,,,
1423524852,coahuila,casa,https://casa.metroscubicos.com/MLM-1423524852-casa-en-venta-en-fracc-la-cima-vinedos-_JM,"$2,290,000",Torreón,Fraccionamiento Jardines del Sol,198 m²,,3,2,,,,,174 m²,,,,,,,,,,,,,,,,,,,
1423524851,coahuila,casa,https://casa.metroscubicos.com/MLM-1423524851-casa-en-venta-en-residencial-las-isabeles-_JM,"$7,900,000",Torreón,Residencial las Isabeles,356 m²,,3,3,2,,,,407 m²,,,,,,,,,,,,,,,,,,,
