ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Bodegas,Tipo de casa,Tipo de propiedad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1385933543,sonora,casa,https://casa.metroscubicos.com/MLM-1385933543-casa-en-venta-salvatierra-residencial-_JM,"$3,500,000",Hermosillo,Salvatierra Residencial,209 m²,271 m²,6,3,2,2,,,0 años,,,,,,,,,,,,,,
1324537925,sonora,vmv,https://casa.metroscubicos.com/MLM-1324537925-vmv-casa-en-venta-en-brisas-del-golfo-puerto-penasco-son-_JM,"$752,456",Puerto PeÃ±asco,Brisas del Golfo,94 mÂ²,167 mÂ²,,,,1,,,,,3,2,,,,,,,,,,,
1383663956,sonora,jc,https://casa.metroscubicos.com/MLM-1383663956-jc-casa-en-venta-490000-por-remate-bancario-col-plaza-real-_JM,"$490,000",Hermosillo,Plaza Real,150 m²,150 m²,,3,2,1,,,,,,,,,,,,,,,,,
942783621,sonora,se,https://casa.metroscubicos.com/MLM-942783621-se-vende-casa-en-residencial-del-lago-_JM,"$3,300,000",Cajeme,Cd. Obregón (Ciudad Obregón),220.15 m²,220.15 m²,,4,4,,,,10 años,,,,,,,,,,,,,,
1386053584,sonora,venta,https://casa.metroscubicos.com/MLM-1386053584-venta-casa-al-norte-andara-residencial-_JM,"$3,200,000",Hermosillo,Banus,168 m²,185 m²,8,4,2,2,,,10 años,,,,,,,,,,,,,,
1386016489,sonora,venta,https://casa.metroscubicos.com/MLM-1386016489-venta-casa-las-quintas-_JM,"$1,100,000",Hermosillo,Las Quintas,120 m²,160 m²,8,4,3,1,,,0 años,,,,,,,,,,,,,,
1333911386,sonora,condominios,https://casa.metroscubicos.com/MLM-1333911386-condominios-en-venta-terrazas-en-san-carlos-_JM,"U$S256,400",Guaymas,San Carlos Nuevo Guaymas,,154 m²,,,2,,,,0 años,,,,,,,,,,,,,,
1385999755,sonora,venta,https://casa.metroscubicos.com/MLM-1385999755-venta-casa-provincias-residencial-nuevas-_JM,"$2,000,000",Hermosillo,Hermosillo Centro,129 m²,107 m²,4,2,1,2,,,0 años,,,,,,,,,,,,,,
1325136175,sonora,se,https://casa.metroscubicos.com/MLM-1325136175-se-vende-casa-en-residencial-del-lago-_JM,"$2,500,000",Cajeme,Villas Del Nainari,220 m²,184 m²,,2,2,2,,,5 años,,,,,,,,,,,,,,
920218045,sonora,casa,https://casa.metroscubicos.com/MLM-920218045-casa-en-venta-puerta-real-muy-equipada-_JM,"$1,150,000",Hermosillo,Puerta Real Residencial VII,132 m²,100 m²,4,2,1,1,,,13 años,,,,,,,,,,,,,,
962441398,sonora,casa,https://casa.metroscubicos.com/MLM-962441398-casa-en-venta-en-col-villa-satelite-hermosillo-son-_JM,"$6,500,000",Hermosillo,Villa Satélite,537 m²,410 m²,,6,6,8,1,,24 años,,,,,,1,Casa,Casa sola,,,,,,
1386060078,sonora,venta,https://casa.metroscubicos.com/MLM-1386060078-venta-espectacular-casa-al-norte-de-la-ciudad-_JM,"$11,900,000",Hermosillo,Colinas Del Bachoco,260 m²,620 m²,13,5,6,4,,,0 años,,,,,,,,,,,,,,
1385997654,sonora,espectacular,https://casa.metroscubicos.com/MLM-1385997654-espectacular-casa-en-venta-col-pitic-_JM,"$8,950,000",Hermosillo,Pitic,466 m²,430 m²,7,3,4,4,,,0 años,,,,,,,,,,,,,,
1390420182,sonora,venta,https://casa.metroscubicos.com/MLM-1390420182-venta-de-amplia-residencia-de-una-planta-en-centenario-ideal-para-habitarse-o-adaptarla-para-oficinas-_JM,"$6,350,000",Hermosillo,Centenario,701 m²,408 m²,,3,4,,,,,,,,,,,,,,,,,,
1386078394,sonora,venta,https://casa.metroscubicos.com/MLM-1386078394-venta-casa-al-norte-en-privada-_JM,"$1,950,000",Hermosillo,Lomas De Lindavista,125 m²,211 m²,6,3,2,2,,,0 años,,,,,,,,,,,,,,
1385997632,sonora,lomas,https://casa.metroscubicos.com/MLM-1385997632-lomas-elite-_JM,"$800,000",Hermosillo,Las Lomas Privada las Lomas,70 m²,78 m²,5,3,1,1,,,0 años,,,,,,,,,,,,,,
1385914349,sonora,venta,https://casa.metroscubicos.com/MLM-1385914349-venta-casa-la-paloma-residencial-_JM,"$8,700,000",Hermosillo,La Paloma Residencial I,432 m²,520 m²,9,4,4,2,,,0 años,,,,,,,,,,,,,,
1402641896,sonora,se,https://casa.metroscubicos.com/MLM-1402641896-se-vende-casa-en-el-greco-residencial-_JM,"$4,200,000",Nogales,Nogales (Nogales),216 m²,350 m²,,4,5,2,,,10 años,,,,,,,,,,,,,,
1386060112,sonora,venta,https://casa.metroscubicos.com/MLM-1386060112-venta-casa-y-local-col-sahuaro-_JM,"$800,000",Hermosillo,Sahuaro,121 m²,121 m²,2,,2,4,,,0 años,,,,,,,,,,,,,,
1386060114,sonora,venta,https://casa.metroscubicos.com/MLM-1386060114-venta-casa-colonia-pitic-_JM,"$10,500,000",Hermosillo,Pitic,800 m²,768 m²,11,5,5,5,,,0 años,,,,,,,,,,,,,,
1402503481,sonora,se,https://casa.metroscubicos.com/MLM-1402503481-se-vende-casa-en-colonia-del-rosario-_JM,"U$S72,000",Nogales,El Rosario,295.8 m²,220 m²,,6,3,2,,,25 años,,,,,,,,,,,,,,
938117618,sonora,venta,https://casa.metroscubicos.com/MLM-938117618-venta-en-bahia-de-kino-_JM,"$1,344,000",Hermosillo,BahÃ­a De Kino Centro,253 mÂ²,151 mÂ²,5,,,1,,,,,3,2,,0 aÃ±os,,,,,,,,,
1410450229,sonora,casa,https://casa.metroscubicos.com/MLM-1410450229-casa-en-fracc-san-marcos-hermosillo-sonora-barata-jtp-_JM,"$301,009",Hermosillo,San Marcos,85 m²,90 m²,,2,1,1,,,12 años,,,,,,,,,,,,,,
1385914321,sonora,venta,https://casa.metroscubicos.com/MLM-1385914321-venta-casa-los-santos-residencial-_JM,"$5,650,000",Hermosillo,Los Santos Residencial,340 m²,303 m²,9,4,4,2,,,0 años,,,,,,,,,,,,,,
1333260789,sonora,se,https://casa.metroscubicos.com/MLM-1333260789-se-vende-casa-en-col-los-laureles-_JM,"$700,000",Navojoa,Los Laureles,147 m²,82 m²,,2,1,,1,,14 años,,,,,,,,,,,,,,
1386047492,sonora,casa,https://casa.metroscubicos.com/MLM-1386047492-casa-en-venta-y-renta-los-santos-residencial-_JM,"$4,300,000",Hermosillo,Los Santos Residencial,423 m²,343 m²,6,3,2,4,,,0 años,,,,,,,,,,,,,,
1385908055,sonora,venta,https://casa.metroscubicos.com/MLM-1385908055-venta-casa-al-norte-pedregal-residencial-_JM,"$10,900,000",Hermosillo,Colinas Del Bachoco,441 m²,520 m²,12,5,5,4,,,0 años,,,,,,,,,,,,,,
1333896193,sonora,se,https://casa.metroscubicos.com/MLM-1333896193-se-vende-casa-en-colonia-cuauhtemoc-_JM,"$3,200,000",Cajeme,Cuauhtémoc (Urbanizable 6),125 m²,346.4 m²,,3,3,2,,,20 años,,,,,,,,,,,,,,
