tipo,precio,predPrices,diffPrices,percentDiff,m2Terreno,colonia,municipio_x,entidad,codigo_postal,latitud,longitud
terrenos,3115006.0,3030000.0,-85006.0,-2.7289193022421165,53707.0,Chablekal,Mérida,Yucatán,97302.0,21.0626258850098,-89.612434387207
terrenos,190710.0,20000.0,-170710.0,-89.51287294845577,380.0,Hunucma,Hunucma,Yucatán,,,
terrenos,1867478.0,1910000.0,42522.0,2.2769746149619907,510.0,Cholul,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,1867478.0,1910000.0,42522.0,2.2769746149619907,510.0,Cholul,Mérida,Yucatán,97918.0,20.4695072174072,-89.0872573852539
terrenos,1867478.0,1910000.0,42522.0,2.2769746149619907,510.0,Cholul,Mérida,Yucatán,97774.0,20.8552703857422,-87.6705703735352
terrenos,1129459.0,1040000.0,-89459.0,-7.920517699181639,294.0,Cholul,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,1129459.0,1040000.0,-89459.0,-7.920517699181639,294.0,Cholul,Mérida,Yucatán,97918.0,20.4695072174072,-89.0872573852539
terrenos,1129459.0,1040000.0,-89459.0,-7.920517699181639,294.0,Cholul,Mérida,Yucatán,97774.0,20.8552703857422,-87.6705703735352
terrenos,3200.0,170000.0,166800.0,5212.5,360.0,Centro,Mérida,Yucatán,,,
terrenos,381000.0,610000.0,229000.0,60.10498687664041,318.0,Valladolid Centro,Valladolid,Yucatán,97780.0,20.6897563934326,-88.2024688720703
terrenos,1604718.0,1610000.0,5282.0,0.3291544059454754,427.0,Santa Maria,Mérida,Yucatán,97138.0,21.0088500976563,-89.5836410522461
terrenos,1604718.0,1610000.0,5282.0,0.3291544059454754,427.0,Santa Maria,Mérida,Yucatán,97864.0,20.3959331512451,-89.547477722168
terrenos,1604718.0,1610000.0,5282.0,0.3291544059454754,427.0,Santa Maria,Mérida,Yucatán,97702.0,21.1545677185059,-88.149299621582
terrenos,1604718.0,1610000.0,5282.0,0.3291544059454754,427.0,Santa Maria,Mérida,Yucatán,97925.0,20.3891754150391,-88.720085144043
terrenos,390.0,20000.0,19610.0,5028.205128205129,380.0,Hunucma,Hunucma,Yucatán,,,
terrenos,500000.0,490000.0,-10000.0,-2.0000000000000018,200.0,Chuburna De Hidalgo,Mérida,Yucatán,,,
terrenos,1115106.0,1110000.0,-5106.0,-0.4578936890304641,32182.0,Cholul,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,1115106.0,1110000.0,-5106.0,-0.4578936890304641,32182.0,Cholul,Mérida,Yucatán,97918.0,20.4695072174072,-89.0872573852539
terrenos,1115106.0,1110000.0,-5106.0,-0.4578936890304641,32182.0,Cholul,Mérida,Yucatán,97774.0,20.8552703857422,-87.6705703735352
terrenos,5916407.0,3320000.0,-2596407.0,-43.88486120038733,1207.0,Chablekal,Mérida,Yucatán,97302.0,21.0626258850098,-89.612434387207
terrenos,398867.0,320000.0,-78867.0,-19.77275633231127,133.0,Santa Maria Chi,Mérida,Yucatán,,,
terrenos,1470000.0,340000.0,-1130000.0,-76.87074829931973,420.0,Komchen,Mérida,Yucatán,,,
terrenos,632840.0,610000.0,-22840.0,-3.6091271095379573,318.0,Conkal,Conkal,Yucatán,97345.0,21.0742607116699,-89.5194549560547
terrenos,1116000.0,1030000.0,-86000.0,-7.706093189964158,279.0,Cholul,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,1116000.0,1030000.0,-86000.0,-7.706093189964158,279.0,Cholul,Mérida,Yucatán,97918.0,20.4695072174072,-89.0872573852539
terrenos,1116000.0,1030000.0,-86000.0,-7.706093189964158,279.0,Cholul,Mérida,Yucatán,97774.0,20.8552703857422,-87.6705703735352
terrenos,342584.0,390000.0,47416.0,13.840693085491452,136.0,Progreso De Castro Centro,Progreso,Yucatán,,,
terrenos,5916407.0,3320000.0,-2596407.0,-43.88486120038733,1207.0,Komchen,Mérida,Yucatán,,,
terrenos,843588.0,870000.0,26412.0,3.130912246262385,281.0,Santa Maria Chi,Mérida,Yucatán,,,
terrenos,1256553.0,210000.0,-1046553.0,-83.28761301751697,412.0,Santa Maria Chi,Mérida,Yucatán,,,
terrenos,138468.0,170000.0,31532.0,22.772048415518388,230.0,Chabihau,Yobain,Yucatán,97426.0,21.3562831878662,-89.1178970336914
terrenos,180000.0,330000.0,150000.0,83.33333333333333,250.0,Chicxulub Puerto,Progreso,Yucatán,97330.0,21.2948379516602,-89.6021118164063
terrenos,2288979.0,2320000.0,31021.0,1.355233053689009,2080.0,Dzidzilche,Mérida,Yucatán,,,
terrenos,750000.0,850000.0,100000.0,13.33333333333333,3000.0,Dzununcan,Mérida,Yucatán,97315.0,20.8931541442871,-89.6658096313477
terrenos,750000.0,850000.0,100000.0,13.33333333333333,3000.0,Dzununcan,Mérida,Yucatán,97444.0,21.075798034668,-89.2007522583008
terrenos,1025280.0,1250000.0,224720.0,21.91791510611736,720.0,Hunucma,Hunucma,Yucatán,,,
terrenos,799675.0,900000.0,100325.0,12.545721699440392,31987.0,Conkal,Conkal,Yucatán,97345.0,21.0742607116699,-89.5194549560547
terrenos,44000.0,100000.0,56000.0,127.2727272727273,220.0,Dzidzantun,Yucatán,Yucatán,,,
terrenos,546000.0,340000.0,-206000.0,-37.72893772893773,420.0,Mérida,Yucatán,Yucatán,,,
terrenos,3028525.0,3360000.0,331475.0,10.945097035685691,786.0,Santa Gertrudis Copo,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,1329291.0,0.0,-1329291.0,-100.0,518.0,Tamanche,Mérida,Yucatán,,,
terrenos,744000.0,650000.0,-94000.0,-12.634408602150538,248.0,Tamanche,Mérida,Yucatán,,,
terrenos,1904700.0,340000.0,-1564700.0,-82.14941985614533,420.0,Tamanche,Mérida,Yucatán,,,
terrenos,1393257.0,140000.0,-1253257.0,-89.95160261172202,345.0,Centro,Mérida,Yucatán,,,
terrenos,2016000.0,340000.0,-1676000.0,-83.13492063492063,420.0,Mérida,Yucatán,Yucatán,,,
terrenos,537459.0,700000.0,162541.0,30.242492915738683,284.0,Conkal,Conkal,Yucatán,97345.0,21.0742607116699,-89.5194549560547
terrenos,2916127.0,1090000.0,-1826127.0,-62.621655366861596,442.0,Yucatan Country Club,Mérida,Yucatán,,,
terrenos,4556880.0,790000.0,-3766880.0,-82.66357683327189,1012.0,Chablekal,Yucatán,Yucatán,97302.0,21.0626258850098,-89.612434387207
terrenos,4200.0,140000.0,135800.0,3233.3333333333335,348.0,Conkal,Conkal,Yucatán,97345.0,21.0742607116699,-89.5194549560547
terrenos,1060200.0,1030000.0,-30200.0,-2.848519147330697,279.0,Cholul,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,1060200.0,1030000.0,-30200.0,-2.848519147330697,279.0,Cholul,Mérida,Yucatán,97918.0,20.4695072174072,-89.0872573852539
